Unnamed: 0,CAR,GNB
First Downs,18,17
Rush-Yds-TDs,35-139-2,22-99-0
Cmp-Att-Yd-TD-INT,10-24-202-0-0,19-33-231-2-1
Sacked-Yards,4-9,4-32
Net Pass Yards,193,199
Total Yards,332,298
Fumbles-Lost,3-3,2-0
Turnovers,3,1
Penalties-Yards,7-77,10-83
Third Down Conv.,4-14,2-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:37,28:23
