Quarter,Time,Tm,Detail,JAX,SEA
1.0,8:04,Seahawks,Zach Miller 1 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
2.0,14:26,Seahawks,Zach Miller 4 yard pass from Russell Wilson (Stephen Hauschka kick),0,14
,9:40,Seahawks,Stephen Hauschka 21 yard field goal,0,17
,0:10,Seahawks,Sidney Rice 11 yard pass from Russell Wilson (Stephen Hauschka kick),0,24
3.0,11:41,Seahawks,Sidney Rice 23 yard pass from Russell Wilson (Stephen Hauschka kick),0,31
,6:20,Jaguars,Maurice Jones-Drew 2 yard rush (Josh Scobee kick),7,31
,1:28,Seahawks,Doug Baldwin 35 yard pass from Tarvaris Jackson (Stephen Hauschka kick),7,38
,0:06,Jaguars,Josh Scobee 33 yard field goal,10,38
4.0,9:06,Jaguars,Jordan Todman 3 yard rush (Josh Scobee kick),17,38
,6:32,Seahawks,Tarvaris Jackson 5 yard rush (Stephen Hauschka kick),17,45
