Quarter,Time,Tm,Detail,LAR,LAC
1.0,1:09,Rams,Matt Gay 23 yard field goal,3,0
2.0,13:40,Chargers,Austin Ekeler 10 yard rush (Cameron Dicker kick),3,7
,8:25,Chargers,Austin Ekeler 72 yard rush (Cameron Dicker kick),3,14
,4:09,Rams,Malcolm Brown 23 yard rush (Matt Gay kick),10,14
,0:14,Chargers,Cameron Dicker 40 yard field goal,10,17
3.0,8:46,Chargers,Gerald Everett 6 yard pass from Justin Herbert (Cameron Dicker kick),10,24
4.0,12:12,Chargers,Donald Parham 3 yard pass from Justin Herbert (Cameron Dicker kick),10,31
