Unnamed: 0,LAR,LAC
First Downs,12,22
Rush-Yds-TDs,26-166-1,31-192-2
Cmp-Att-Yd-TD-INT,11-19-132-0-0,24-31-239-2-0
Sacked-Yards,3-21,0-0
Net Pass Yards,111,239
Total Yards,277,431
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,3-22,2-19
Third Down Conv.,4-11,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:08,31:52
