Unnamed: 0,IND,NWE
First Downs,16,23
Rush-Yds-TDs,21-69-0,46-234-6
Cmp-Att-Yd-TD-INT,20-41-331-2-4,13-25-198-0-0
Sacked-Yards,3-14,2-13
Net Pass Yards,317,185
Total Yards,386,419
Fumbles-Lost,0-0,3-0
Turnovers,4,0
Penalties-Yards,4-42,4-35
Third Down Conv.,6-15,11-18
Fourth Down Conv.,1-1,0-1
Time of Possession,25:00,35:00
