#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:45,IND 2,1,0:04,2,Touchdown
2,1,12:20,NWE 26,10,5:03,74,Touchdown
3,1,4:35,NWE 20,3,1:19,-3,Punt
4,1,2:22,NWE 25,14,6:28,75,Touchdown
5,2,5:35,NWE 25,6,3:17,-25,"Fumble, Safety"
6,2,1:14,NWE 36,3,0:37,4,Punt
7,3,15:00,NWE 20,3,1:30,8,Punt
8,3,10:03,NWE 12,9,3:45,88,Touchdown
9,3,5:01,NWE 20,3,1:21,7,Punt
10,3,2:05,NWE 24,3,1:31,9,Punt
11,4,13:08,NWE 27,1,0:13,73,Touchdown
12,4,12:45,IND 18,5,1:33,18,Touchdown
13,4,10:16,NWE 16,11,7:42,58,Punt
14,4,0:37,NWE 22,1,0:37,-1,End of Game
