Quarter,Time,Tm,Detail,IND,NWE
1.0,13:41,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),0,7
,7:17,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),0,14
,4:35,Colts,LaVon Brazill 38 yard pass from Andrew Luck (Adam Vinatieri kick),7,14
2.0,10:54,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),7,21
,5:35,Colts,Adam Vinatieri 36 yard field goal,10,21
,2:18,Colts,"Safety, Ryan Allen fumble declared dead in end zone.",12,21
3.0,10:03,Colts,Adam Vinatieri 21 yard field goal,15,21
,6:18,Patriots,Stevan Ridley 3 yard rush (Stevan Ridley run),15,29
,5:01,Colts,LaVon Brazill 35 yard pass from Andrew Luck (Adam Vinatieri kick),22,29
4.0,12:55,Patriots,LeGarrette Blount 73 yard rush (Stephen Gostkowski kick),22,36
,11:12,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),22,43
