Quarter,Time,Down,ToGo,Location,CLE,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 73 yards, returned by Devin Hester for 27 yards (tackle by Jim Leonhard)",0.000,-0.150
1,14:55,1,10,ATL 19,0,0,Matt Ryan pass incomplete short right intended for Roddy White (defended by Buster Skrine),0.150,-0.390
1,14:51,2,10,ATL 19,0,0,Steven Jackson left tackle for 3 yards (tackle by Christian Kirksey),-0.390,-0.680
1,14:14,3,7,ATL 22,0,0,Matt Ryan pass complete deep middle to Roddy White for 20 yards (tackle by Jim Leonhard),-0.680,1.730
1,13:35,1,10,ATL 42,0,0,Steven Jackson left guard for 3 yards (tackle by Billy Winn),1.730,1.590
1,12:59,2,7,ATL 45,0,0,Matt Ryan pass incomplete short left intended for Julio Jones,1.590,0.890
1,12:55,3,7,ATL 45,0,0,Matt Ryan pass incomplete short right intended for Harry Douglas (defended by Justin Gilbert),0.890,-0.390
1,12:51,4,7,ATL 45,0,0,"Matthew Bosher punts 40 yards, fair catch by Jim Leonhard",-0.390,0.220
1,12:43,1,10,CLE 15,0,0,Isaiah Crowell left guard for no gain (tackle by Josh Wilson),-0.220,-0.710
1,12:16,2,10,CLE 15,0,0,Brian Hoyer pass complete short left to Miles Austin for 11 yards (tackle by Robert McClain),-0.710,0.670
1,11:42,1,10,CLE 26,0,0,Isaiah Crowell right end for -3 yards (tackle by Paul Soliai),0.670,-0.280
1,11:06,2,13,CLE 23,0,0,"Penalty on Jonathan Babineaux: Neutral Zone Infraction, 5 yards (no play)",-0.280,0.400
1,10:41,2,8,CLE 28,0,0,Brian Hoyer pass incomplete short right intended for Travis Benjamin,0.400,-0.300
1,10:35,3,8,CLE 28,0,0,Brian Hoyer pass incomplete deep right intended for Josh Gordon (defended by Desmond Trufant),-0.300,-1.500
1,10:30,4,8,CLE 28,0,0,"Spencer Lanning punts 41 yards, returned by Devin Hester for 12 yards (tackle by Johnson Bademosi)",-1.500,-1.800
1,10:19,1,10,ATL 43,0,0,Steven Jackson right guard for 3 yards (tackle by Ishmaa'ily Kitchen and Tashaun Gipson),1.800,1.660
1,9:55,2,7,ATL 46,0,0,Matt Ryan pass complete short middle to Roddy White for 9 yards (tackle by Joe Haden),1.660,2.590
1,9:30,1,10,CLE 45,0,0,Steven Jackson left guard for 2 yards (tackle by Ahtyba Rubin and Ishmaa'ily Kitchen),2.590,2.310
1,8:57,2,8,CLE 43,0,0,Matt Ryan pass incomplete short right intended for Devin Hester (defended by Donte Whitner),2.310,1.620
1,8:52,3,8,CLE 43,0,0,"Matt Ryan pass incomplete short left intended for Devin Hester. Penalty on Jabaal Sheard: Defensive Offside, 5 yards (no play)",1.620,2.280
1,8:44,3,3,CLE 38,0,0,Matt Ryan left end for 4 yards,2.280,3.310
1,8:07,1,10,CLE 34,0,0,Matt Ryan up the middle for 2 yards (tackle by Desmond Bryant),3.310,3.040
1,7:24,2,8,CLE 32,0,0,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Buster Skrine),3.040,3.010
1,6:50,3,3,CLE 27,0,0,Devonta Freeman left end for 3 yards (tackle by Craig Robertson),3.010,3.970
1,6:05,1,10,CLE 24,0,0,Matt Ryan pass incomplete deep left intended for Julio Jones,3.970,3.430
1,5:59,2,10,CLE 24,0,6,"Matt Ryan pass complete deep middle to Julio Jones for 24 yards, touchdown",3.430,7.000
1,5:59,,,CLE 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,5:59,,,ATL 35,0,7,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
1,5:53,1,10,CLE 20,0,7,Brian Hoyer pass incomplete short left intended for Ray Agnew,0.280,-0.270
1,5:48,2,10,CLE 20,0,7,Terrance West right guard for 4 yards (tackle by Robert McClain),-0.270,-0.430
1,5:04,3,6,CLE 24,0,7,Brian Hoyer pass complete short left to Josh Gordon for 12 yards (tackle by Josh Wilson),-0.430,1.330
1,4:33,1,10,CLE 36,0,7,Brian Hoyer pass complete short right to Andrew Hawkins for 17 yards (tackle by Josh Wilson),1.330,2.460
1,4:25,1,10,ATL 47,0,7,Terrance West left tackle for 3 yards (tackle by Corey Peters),2.460,2.320
1,3:36,2,7,ATL 44,0,7,Terrance West right end for 3 yards (tackle by Kroy Biermann),2.320,2.010
1,2:52,3,4,ATL 41,0,7,Isaiah Crowell right guard for 3 yards (tackle by Paul Worrilow and Corey Peters),2.010,0.720
1,2:11,4,1,ATL 38,0,7,"Brian Hoyer pass incomplete short left intended for Ray Agnew. Penalty on Kemal Ishmael: Defensive Holding, 5 yards (no play)",0.720,3.380
1,2:05,1,10,ATL 33,0,7,Brian Hoyer pass complete short left to Josh Gordon for 22 yards (tackle by Dwight Lowery),3.380,4.840
1,1:42,1,10,ATL 11,0,7,Brian Hoyer pass incomplete short left intended for Travis Benjamin,4.840,4.140
1,1:40,2,10,ATL 11,6,7,"Isaiah Crowell left tackle for 11 yards, touchdown",4.140,7.000
1,1:40,,,ATL 2,7,7,Billy Cundiff kicks extra point good,0.000,0.000
1,1:40,,,CLE 35,7,7,"Billy Cundiff kicks off 70 yards, returned by Devin Hester for 14 yards (tackle by Jim Leonhard)",0.000,0.380
1,1:25,1,10,ATL 9,7,7,Matt Ryan sacked by Ahtyba Rubin for -6 yards,-0.380,-1.220
1,0:42,2,16,ATL 3,7,7,Jacquizz Rodgers left tackle for 7 yards (tackle by Jabaal Sheard),-1.220,-1.300
Quarter,Time,Down,ToGo,Location,CLE,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,ATL 10,7,7,Matt Ryan pass incomplete deep left intended for Julio Jones is intercepted by Joe Haden at ATL-29,-1.300,-3.640
2,14:54,1,10,ATL 29,7,7,Brian Hoyer left end for 9 yards (tackle by Joplo Bartu),3.640,4.320
2,14:34,2,1,ATL 20,7,7,Terrance West up the middle for 1 yard (tackle by Jonathan Babineaux and Paul Soliai),4.320,4.310
2,14:06,1,10,ATL 19,7,7,Brian Hoyer pass incomplete short right intended for Taylor Gabriel,4.310,3.750
2,14:04,2,10,ATL 19,7,7,Terrance West right end for 4 yards (tackle by Kemal Ishmael),3.750,3.580
