Unnamed: 0,CLE,ATL
First Downs,29,21
Rush-Yds-TDs,29-162-2,23-63-1
Cmp-Att-Yd-TD-INT,23-41-322-0-3,27-43-273-2-1
Sacked-Yards,1-9,3-21
Net Pass Yards,313,252
Total Yards,475,315
Fumbles-Lost,2-0,1-1
Turnovers,3,2
Penalties-Yards,5-30,7-40
Third Down Conv.,4-10,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:37,29:23
