Quarter,Time,Tm,Detail,PHI,MIA
1.0,13:49,Eagles,Brian Westbrook 21 yard rush (David Akers kick),7,0
,5:49,Dolphins,Jay Fiedler 1 yard rush (Olindo Mare kick),7,7
,1:53,Eagles,Donovan McNabb 1 yard rush (David Akers kick),14,7
2.0,14:55,Dolphins,Travis Minor 2 yard rush (Olindo Mare kick),14,14
,11:08,Eagles,Brian Westbrook 25 yard pass from Freddie Mitchell (David Akers kick),21,14
,2:50,Eagles,David Akers 46 yard field goal,24,14
,0:26,Dolphins,Olindo Mare 27 yard field goal,24,17
3.0,9:44,Dolphins,Ricky Williams 3 yard rush (Olindo Mare kick),24,24
4.0,14:53,Eagles,Correll Buckhalter 2 yard rush (David Akers kick),31,24
,2:00,Eagles,David Akers 42 yard field goal,34,24
,0:14,Dolphins,Olindo Mare 50 yard field goal,34,27
