Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 68 yards, returned by James Thrash for 18 yards (tackle by Brendon Ayanbadejo)",0.000,0.280
1,14:54,1,10,PHI 20,0,0,Donovan McNabb pass complete to Todd Pinkston for 59 yards (tackle by Brock Marion),0.280,4.170
1,14:01,1,10,MIA 21,0,0,Donovan McNabb pass incomplete intended for L.J. Smith,4.170,3.630
1,13:56,2,10,MIA 21,6,0,"Brian Westbrook up the middle for 21 yards, touchdown",3.630,7.000
1,,,,MIA 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 62 yards, returned by Travis Minor for 10 yards (tackle by L.J. Smith)",0.000,1.990
1,13:39,1,10,MIA 46,7,0,Jay Fiedler pass incomplete intended for Chris Chambers,1.990,1.450
1,13:32,2,10,MIA 46,7,0,Ricky Williams left tackle for 4 yards (tackle by Brian Dawkins),1.450,1.290
1,12:53,3,6,PHI 50,7,0,Jay Fiedler pass complete to James McKnight for 5 yards (tackle by Troy Vincent),1.290,0.270
1,12:11,4,1,PHI 45,7,0,Jay Fiedler up the middle for 3 yards (tackle by Corey Simon and Darwin Walker),0.270,2.790
1,11:31,1,10,PHI 42,7,0,Jay Fiedler pass incomplete intended for Derrius Thompson (defended by Michael Lewis),2.790,2.240
1,11:25,2,10,PHI 42,7,0,Ricky Williams right guard for 1 yard (tackle by Marco Coleman),2.240,1.680
1,10:42,3,9,PHI 41,7,0,Jay Fiedler pass incomplete intended for Oronde Gadsden is intercepted by Brian Dawkins at PHI-16,1.680,0.140
1,10:34,1,10,PHI 16,7,0,Donovan McNabb pass incomplete intended for James Thrash (defended by Junior Seau),-0.140,-0.660
1,10:28,2,10,PHI 16,7,0,Correll Buckhalter up the middle for 1 yard (tackle by Morlon Greenwood),-0.660,-1.200
1,9:48,3,9,PHI 17,7,0,Brian Westbrook left guard for 3 yards (tackle by Jay Williams),-1.200,-2.030
1,9:16,4,6,PHI 20,7,0,"Dirk Johnson punts 51 yards, returned by Charlie Rogers for 8 yards (tackle by Brian Westbrook)",-2.030,-1.400
1,9:04,1,10,MIA 37,7,0,Ricky Williams for 2 yards (tackle by Corey Simon),1.400,1.130
1,8:39,2,8,MIA 39,7,0,Jay Fiedler pass complete to Chris Chambers for 9 yards,1.130,2.130
1,8:11,1,10,MIA 48,7,0,"Penalty on Marco Coleman: Encroachment, 5 yards (no play)",2.130,2.860
1,7:53,1,5,PHI 47,7,0,Ricky Williams for 8 yards (tackle by Troy Vincent and Michael Lewis),2.860,2.980
1,7:26,1,10,PHI 39,7,0,Ricky Williams left guard for no gain (tackle by Mark Simoneau),2.980,2.440
1,6:47,2,10,PHI 39,7,0,Jay Fiedler pass complete to Chris Chambers for 38 yards (tackle by Troy Vincent),2.440,6.970
1,5:51,1,1,PHI 1,7,6,"Jay Fiedler up the middle for 1 yard, touchdown",6.970,7.000
1,,,,PHI 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,MIA 30,7,7,"Olindo Mare kicks off 79 yards, touchback",0.000,0.280
1,5:49,1,10,PHI 20,7,7,Brian Westbrook right end for -2 yards (tackle by Jason Taylor and Adewale Ogunleye),0.280,-0.630
1,5:03,2,12,PHI 18,7,7,Donovan McNabb pass complete to Brian Westbrook for 13 yards (tackle by Patrick Surtain),-0.630,1.000
1,4:20,1,10,PHI 31,7,7,Donovan McNabb pass complete to Todd Pinkston for 19 yards (tackle by Jason Taylor),1.000,2.260
1,3:37,1,10,MIA 50,7,7,Brian Westbrook left tackle for -2 yards (tackle by Zach Thomas),2.260,1.440
1,2:58,2,12,PHI 48,7,7,Donovan McNabb pass complete to Brian Westbrook for 7 yards (tackle by Patrick Surtain),1.440,1.690
1,2:27,3,5,MIA 45,7,7,Donovan McNabb pass complete to James Thrash for 44 yards (tackle by Zach Thomas). Penalty on Sam Madison: Face Mask (15 Yards),1.690,6.970
1,2:01,1,1,MIA 1,7,7,Donovan McNabb pass incomplete intended for L.J. Smith (defended by Junior Seau),6.970,5.910
1,1:56,2,1,MIA 1,13,7,"Donovan McNabb up the middle for 1 yard, touchdown",5.910,7.000
1,,,,MIA 2,14,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,14,7,"David Akers kicks off 66 yards, returned by Travis Minor for 26 yards (tackle by Sheldon Brown)",0.000,0.940
1,1:47,1,10,MIA 30,14,7,Jay Fiedler pass incomplete intended for Derrius Thompson,0.940,0.390
1,1:40,2,10,MIA 30,14,7,Ricky Williams right guard for 45 yards (tackle by Brian Dawkins),0.390,3.910
1,1:04,1,10,PHI 25,14,7,Jay Fiedler pass complete to Chris Chambers for 17 yards,3.910,5.370
1,0:37,1,8,PHI 8,14,7,Travis Minor right guard for 6 yards (tackle by N.D. Kalu and Brian Dawkins),5.370,5.720
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,PHI 2,14,13,"Travis Minor right end for 2 yards, touchdown",5.720,7.000
2,,,,PHI 2,14,14,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,14,14,"Olindo Mare kicks off 72 yards, returned by James Thrash for 27 yards (tackle by Obafemi Ayanbadejo)",0.000,0.610
2,14:49,1,10,PHI 25,14,14,Correll Buckhalter left tackle for no gain (tackle by Jason Taylor),0.610,0.060
2,14:06,2,10,PHI 25,14,14,Donovan McNabb pass complete to Chad Lewis for 15 yards (tackle by Brock Marion),0.060,1.600
