Unnamed: 0,PHI,MIA
First Downs,23,22
Rush-Yds-TDs,28-140-3,29-177-3
Cmp-Att-Yd-TD-INT,16-28-261-1-1,21-40-240-0-2
Sacked-Yards,1-0,2-19
Net Pass Yards,261,221
Total Yards,401,398
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,6-60,7-76
Third Down Conv.,3-8,3-14
Fourth Down Conv.,0-0,2-3
Time of Possession,27:55,32:05
