Quarter,Time,Tm,Detail,WAS,NOR
1.0,10:26,Redskins,Shaun Suisham 37 yard field goal,3,0
,1:41,Redskins,Santana Moss 31 yard pass from Jason Campbell (Shaun Suisham kick),10,0
2.0,9:14,Saints,Deuce McAllister 1 yard rush (John Carney kick),10,7
,5:10,Redskins,Shaun Suisham 37 yard field goal,13,7
4.0,13:26,Saints,John Carney 41 yard field goal,13,10
,4:15,Redskins,Shaun Suisham 22 yard field goal,16,10
