Unnamed: 0,WAS,NOR
First Downs,19,15
Rush-Yds-TDs,31-161-0,24-71-1
Cmp-Att-Yd-TD-INT,13-28-204-1-0,21-38-207-0-1
Sacked-Yards,1-11,2-8
Net Pass Yards,193,199
Total Yards,354,270
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,3-15,4-16
Third Down Conv.,5-13,8-17
Fourth Down Conv.,0-0,1-2
Time of Possession,29:37,30:23
