Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
1,4:24,3,3,WAS 47,3,0,"Penalty on Billy Miller: False Start, 5 yards (no play)",1.690,1.030
1,4:24,3,8,NOR 48,3,0,Reggie Bush left tackle for -2 yards (tackle by Andre Carter),1.030,-0.320
1,3:52,4,10,NOR 46,3,0,"Steve Weatherford punts 54 yards, touchback",-0.320,-0.280
1,3:42,1,10,WAS 20,3,0,Jason Campbell pass complete short right to Santana Moss for 2 yards (tackle by Mark Simoneau),0.280,0.000
1,3:03,2,8,WAS 22,3,0,Ladell Betts left tackle for 3 yards (tackle by Brian Young and Rodney Leisle),0.000,-0.300
1,2:24,3,5,WAS 25,3,0,Jason Campbell pass complete short middle to Chris Cooley for 44 yards (tackle by Jason Craft),-0.300,3.510
1,1:50,1,10,NOR 31,9,0,"Jason Campbell pass complete deep middle to Santana Moss for 31 yards, touchdown",3.510,7.000
1,,,,NOR 2,10,0,Shaun Suisham kicks extra point good,0.000,0.000
1,,,,WAS 30,10,0,"Shaun Suisham kicks off 65 yards, returned by Michael Lewis for 15 yards (tackle by Rock Cartwright)",0.000,0.280
1,1:36,1,10,NOR 20,10,0,Deuce McAllister right guard for 4 yards (tackle by Warrick Holdman and Lemar Marshall),0.280,0.270
1,1:02,2,6,NOR 24,10,0,Drew Brees pass complete short left to Marques Colston for 16 yards (tackle by Carlos Rogers),0.270,1.600
1,0:22,1,10,NOR 40,10,0,Drew Brees pass complete short right to Reggie Bush for 5 yards (tackle by Shawn Springs),1.600,1.730
Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,NOR 45,10,0,Drew Brees pass complete short left to Marques Colston for 10 yards (tackle by Carlos Rogers),1.730,2.590
2,14:19,1,10,WAS 45,10,0,Drew Brees pass incomplete deep middle intended for Devery Henderson (defended by Sean Taylor),2.590,2.040
2,14:11,2,10,WAS 45,10,0,Reggie Bush middle for 9 yards (tackle by Lemar Marshall),2.040,2.540
2,13:31,3,1,WAS 36,10,0,Deuce McAllister right tackle for 11 yards (tackle by Sean Taylor),2.540,3.910
2,12:53,1,10,WAS 25,10,0,Deuce McAllister right guard for 2 yards (tackle by Lemar Marshall),3.910,3.630
2,12:17,2,8,WAS 23,10,0,Reggie Bush right end for -1 yards (tackle by Andre Carter),3.630,2.810
2,11:28,3,9,WAS 24,10,0,Drew Brees pass complete short right to Deuce McAllister for 20 yards (tackle by Vernon Fox and Troy Vincent),2.810,6.280
2,10:37,1,4,WAS 4,10,0,Deuce McAllister right guard for 3 yards (tackle by Cornelius Griffin and Sean Taylor),6.280,5.910
2,10:00,2,1,WAS 1,10,0,Deuce McAllister left guard for no gain (tackle by Phillip Daniels),5.910,5.170
2,9:20,3,1,WAS 1,10,6,"Deuce McAllister left end for 1 yard, touchdown",5.170,7.000
2,,,,WAS 2,10,7,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,10,7,"Billy Cundiff kicks off 72 yards, touchback",0.000,-0.280
2,9:14,1,10,WAS 20,10,7,Jason Campbell pass incomplete deep left intended for Brandon Lloyd,0.280,-0.270
2,9:08,2,10,WAS 20,10,7,Ladell Betts middle for 14 yards (tackle by Jason Craft and Rodney Leisle),-0.270,1.200
2,8:26,1,10,WAS 34,10,7,Jason Campbell pass complete short left to Chris Cooley for 23 yards (tackle by Mark Simoneau),1.200,2.720
2,7:43,1,10,NOR 43,10,7,Jason Campbell pass complete short left to Antwaan Randle El for 14 yards (tackle by Fred Thomas),2.720,3.640
2,7:20,1,10,NOR 29,10,7,Ladell Betts left tackle for 10 yards (tackle by Scott Shanle),3.640,4.310
2,6:42,1,10,NOR 19,10,7,Ladell Betts left guard for 8 yards (tackle by Scott Fujita),4.310,5.140
,,,,,,,"NOR challenged the ruling, and the play was upheld.",,
2,6:03,2,2,NOR 11,10,7,"Penalty on Todd Yoder: False Start, 5 yards (no play)",5.140,4.180
2,6:03,2,7,NOR 16,10,7,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",4.180,3.490
2,6:03,2,12,NOR 21,10,7,Ladell Betts left tackle for 1 yard (tackle by Josh Bullocks),3.490,2.940
2,5:19,3,11,NOR 20,10,7,Jason Campbell pass incomplete short left intended for Antwaan Randle El,2.940,2.120
2,5:15,4,11,NOR 20,13,7,Shaun Suisham 37 yard field goal good,2.120,3.000
2,,,,WAS 30,13,7,"Shaun Suisham kicks off 64 yards, returned by Michael Lewis for 24 yards (tackle by Mike Sellers)",0.000,0.940
2,5:04,1,10,NOR 30,13,7,Deuce McAllister right guard for 6 yards (tackle by Phillip Daniels),0.940,1.200
2,4:26,2,4,NOR 36,13,7,Reggie Bush right tackle for -2 yards (tackle by Sean Taylor),1.200,0.230
2,3:40,3,6,NOR 34,13,7,Drew Brees pass incomplete short right intended for Terrance Copper (defended by Shawn Springs),0.230,-1.110
2,3:35,4,6,NOR 34,13,7,"Steve Weatherford punts 49 yards, returned by Antwaan Randle El for 22 yards (tackle by Bryan Scott)",-1.110,-1.530
2,3:20,1,10,WAS 39,13,7,Jason Campbell pass complete short right to Chris Cooley for 1 yard (tackle by Scott Fujita and Charles Grant),1.530,1.120
2,2:42,2,9,WAS 40,13,7,Ladell Betts left end for 5 yards (tackle by Jason Craft),1.120,1.090
2,2:01,3,4,WAS 45,13,7,Jason Campbell pass incomplete short right intended for Santana Moss,1.090,-0.390
,,,,,,,"WAS challenged the ruling, and the play was upheld.",,
2,1:56,4,4,WAS 45,13,7,Derrick Frost punts 53 yards,-0.390,0.380
2,1:43,1,10,NOR 2,13,7,"Penalty on Reggie Bush: False Start, 1 yards (no play)",-0.380,-0.420
2,1:43,1,11,NOR 1,13,7,Mike Karney right guard for 6 yards (tackle by Sean Taylor and Marcus Washington),-0.420,-0.420
2,1:12,2,5,NOR 7,13,7,Drew Brees pass incomplete deep right intended for Reggie Bush,-0.420,-0.840
2,1:06,3,5,NOR 7,13,7,Drew Brees pass complete short right to Reggie Bush for -2 yards (tackle by Shawn Springs),-0.840,-2.490
2,1:00,,,,13,7,Timeout #3 by Washington Redskins,0.000,-2.490
