Quarter,Time,Down,ToGo,Location,IND,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 60 yards, returned by Isaiah Rodgers for 19 yards (tackle by Miles Killebrew)",0.000,0.540
1,14:56,1,10,IND 24,0,0,Jonathan Taylor left end for 2 yards (tackle by Jamie Collins),0.540,0.270
1,14:17,2,8,IND 26,0,0,Philip Rivers pass complete short right to Jordan Wilkins for 24 yards (tackle by Duron Harmon),0.270,2.260
1,13:45,1,10,IND 50,0,0,Jonathan Taylor right end for 1 yard (tackle by Romeo Okwara and Danny Shelton),2.260,1.850
1,13:04,2,9,DET 49,0,0,Nyheim Hines right end for -2 yards (tackle by Jamie Collins),1.850,0.890
1,12:22,3,11,IND 49,0,0,Philip Rivers sacked by Romeo Okwara for -8 yards,0.890,-0.650
1,11:47,4,19,IND 41,0,0,"Rigoberto Sanchez punts 41 yards, fair catch by Jamal Agnew at DET-18",-0.650,-0.040
1,11:38,1,10,DET 18,0,0,Adrian Peterson right tackle for 1 yard (tackle by Tyquan Lewis and Khari Willis),0.040,-0.320
1,11:06,2,9,DET 19,0,0,Matthew Stafford pass incomplete short left intended for T.J. Hockenson (defended by Tyquan Lewis),-0.320,-1.040
1,11:01,3,9,DET 19,0,0,Matthew Stafford pass incomplete deep left intended for Kenny Golladay,-1.040,-2.140
1,10:54,4,9,DET 19,0,0,"Don Muhlbach for no gain. Don Muhlbach fumbles, recovered by Jack Fox at DET-7 Jack Fox punts 55 yards, fair catch by Nyheim Hines at IND-26",-2.140,-0.670
1,10:46,1,10,IND 26,0,0,Jonathan Taylor right end for 4 yards (tackle by Tracy Walker),0.670,0.670
1,10:05,2,6,IND 30,0,0,Philip Rivers pass complete short middle to T.Y. Hilton for 5 yards (tackle by Jeff Okudah),0.670,0.630
1,9:28,3,1,IND 35,0,0,Jonathan Taylor up the middle for 2 yards (tackle by Nick Williams),0.630,1.400
1,8:51,1,10,IND 37,0,0,Zach Pascal pass incomplete short right intended for Nyheim Hines,1.400,0.860
1,8:44,2,10,IND 37,0,0,Jordan Wilkins up the middle for 5 yards (tackle by Nick Williams and Jamie Collins),0.860,0.830
1,8:00,3,5,IND 42,0,0,Philip Rivers pass complete short left to Jonathan Taylor for 5 yards (tackle by Amani Oruwariye),0.830,2.060
1,7:22,1,10,IND 47,0,0,Jonathan Taylor left end for -1 yards (tackle by Jamie Collins),2.060,1.380
1,6:39,2,11,IND 46,0,0,Philip Rivers pass incomplete short left intended for Jack Doyle,1.380,0.700
1,6:34,3,11,IND 46,0,0,Philip Rivers pass incomplete deep left intended for Zach Pascal,0.700,-0.320
1,6:29,4,11,IND 46,0,0,"Rigoberto Sanchez punts blocked by Miles Killebrew, recovered by Jamie Collins (tackle by Khari Willis)",-0.320,-3.450
1,6:19,1,10,IND 32,0,0,Adrian Peterson up the middle for 7 yards (tackle by Bobby Okereke),3.450,3.850
1,5:49,2,3,IND 25,0,6,"Matthew Stafford pass complete deep left to Marvin Jones for 25 yards, touchdown, touchdown",3.850,7.000
1,5:42,,,IND 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,5:42,,,DET 35,0,7,"Jack Fox kicks off 68 yards, returned by Isaiah Rodgers for 24 yards (tackle by Tracy Walker)",0.000,0.340
1,5:37,1,10,IND 21,0,7,Philip Rivers pass complete short left to Zach Pascal for 8 yards (tackle by Justin Coleman and Tracy Walker),0.340,0.880
1,5:03,2,2,IND 29,0,7,Jordan Wilkins left tackle for 3 yards (tackle by Jarrad Davis),0.880,1.070
1,4:24,1,10,IND 32,0,7,Philip Rivers pass complete short left to Jonathan Taylor for 4 yards (tackle by Christian Jones),1.070,1.070
1,3:51,2,6,IND 36,0,7,Philip Rivers pass complete short middle to Trey Burton for -2 yards (tackle by John Penisini),1.070,0.100
1,3:12,3,8,IND 34,0,7,Philip Rivers pass complete short middle to Mo Alie-Cox for 8 yards (tackle by Jeff Okudah),0.100,1.730
1,2:24,,,,,,Timeout #1 by Indianapolis Colts,,
1,2:24,1,10,IND 42,0,7,Jonathan Taylor left tackle for no gain (tackle by Jamie Collins),1.730,1.190
1,1:42,2,10,IND 42,0,7,Nyheim Hines up the middle for -2 yards (tackle by Da'Shawn Hand),1.190,0.230
1,0:56,3,12,IND 40,0,7,Philip Rivers pass complete short left to Michael Pittman for 6 yards (tackle by Justin Coleman),0.230,-0.320
1,0:24,4,6,IND 46,0,7,"Rigoberto Sanchez punts 46 yards, fair catch by Danny Amendola at DET-8",-0.320,0.380
1,0:17,1,10,DET 8,0,7,D'Andre Swift left end for -5 yards (tackle by Bobby Okereke),-0.380,-1.150
Quarter,Time,Down,ToGo,Location,IND,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,15,DET 3,0,7,D'Andre Swift up the middle for 5 yards (tackle by DeForest Buckner and Grover Stewart),-1.150,-1.420
2,14:23,3,10,DET 8,0,7,Matthew Stafford pass complete short middle to Kerryon Johnson for 6 yards (tackle by Xavier Rhodes and Al-Quadin Muhammad),-1.420,-2.470
2,13:36,4,4,DET 14,0,7,"Jack Fox punts 59 yards, returned by Nyheim Hines for 12 yards (tackle by Don Muhlbach and Christian Jones)",-2.470,-1.530
2,13:23,1,10,IND 39,0,7,Philip Rivers pass complete short right to Mo Alie-Cox for 15 yards (tackle by Jamie Collins),1.530,2.520
2,12:47,1,10,DET 46,0,7,Jonathan Taylor up the middle for 3 yards (tackle by Tracy Walker and Reggie Ragland),2.520,2.380
2,12:07,2,7,DET 43,0,7,Philip Rivers pass complete short middle to Marcus Johnson for 21 yards (tackle by Jeff Okudah),2.380,4.110
2,11:20,1,10,DET 22,6,7,"Philip Rivers pass complete short right to Nyheim Hines for 22 yards, touchdown",4.110,7.000
2,11:10,,,DET 15,7,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,11:10,,,IND 35,7,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,11:10,1,10,DET 25,7,7,Matthew Stafford pass complete short middle to T.J. Hockenson for 11 yards (tackle by Darius Leonard),0.610,1.330
2,10:31,1,10,DET 36,7,7,Matthew Stafford pass incomplete short left intended for T.J. Hockenson,1.330,0.790
2,10:26,2,10,DET 36,7,7,Matthew Stafford pass incomplete short middle intended for Kenny Golladay,0.790,0.100
2,10:18,3,10,DET 36,7,7,Matthew Stafford sacked by Tyquan Lewis for -4 yards,0.100,-1.240
2,9:34,4,14,DET 32,7,7,Jack Fox punts 41 yards downed by Tony McRae,-1.240,-0.740
2,9:21,1,10,IND 27,7,7,Jordan Wilkins left tackle for 3 yards (tackle by Romeo Okwara and Jahlani Tavai),0.740,0.600
2,8:44,2,7,IND 30,7,7,Jordan Wilkins right end for 16 yards (tackle by Jeff Okudah and Duron Harmon),0.600,1.990
2,8:04,1,10,IND 46,7,7,Philip Rivers pass incomplete short right intended for Marcus Johnson,1.990,1.450
2,7:59,2,10,IND 46,7,7,Philip Rivers pass complete short right to Mo Alie-Cox for 14 yards (tackle by Tracy Walker),1.450,2.920
2,7:34,1,10,DET 40,7,7,Jonathan Taylor up the middle for 6 yards (tackle by Romeo Okwara),2.920,3.180
2,7:08,2,4,DET 34,7,7,Philip Rivers pass incomplete short left intended for Mo Alie-Cox,3.180,2.480
2,7:04,3,4,DET 34,7,7,"Philip Rivers sacked by Danny Shelton for -7 yards. Penalty on Danny Shelton: Unnecessary Roughness, 15 yards",2.480,3.840
2,6:33,1,10,DET 26,7,7,Jordan Wilkins up the middle for 3 yards (tackle by Tracy Walker),3.840,3.700
2,5:54,2,7,DET 23,7,7,Philip Rivers pass complete short right to Zach Pascal for 16 yards (tackle by Amani Oruwariye),3.700,5.600
2,5:37,1,7,DET 7,13,7,"Philip Rivers pass complete short right to Jack Doyle for 7 yards, touchdown",5.600,7.000
2,5:32,,,DET 15,14,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,5:32,,,IND 35,14,7,"Rigoberto Sanchez kicks off 69 yards, returned by Jamal Agnew for 29 yards (tackle by T.J. Carrie)",0.000,0.610
2,5:26,1,10,DET 25,14,7,Adrian Peterson left tackle for -3 yards (tackle by Anthony Walker),0.610,-0.340
2,4:44,2,13,DET 22,14,7,Matthew Stafford pass incomplete deep right intended for Kenny Golladay. Penalty on T.J. Hockenson: Offensive Holding (Declined),-0.340,-1.020
2,4:39,3,13,DET 22,14,7,Matthew Stafford sacked by Denico Autry for -8 yards,-1.020,-2.470
2,3:54,4,21,DET 14,14,7,"Jack Fox punts 49 yards. Penalty on Tony McRae: Fair Catch Interference, 15 yards. Penalty on Miles Killebrew: Offensive Holding, 15 yards",-2.470,-2.390
2,3:46,1,10,DET 48,14,7,Philip Rivers pass complete short right to T.Y. Hilton for 4 yards (tackle by Reggie Ragland),2.390,2.390
2,3:10,2,6,DET 44,14,7,Jordan Wilkins left tackle for 2 yards (tackle by Trey Flowers),2.390,1.950
2,2:27,3,4,DET 42,14,7,Jonathan Taylor left end for 3 yards (tackle by Romeo Okwara and Jamie Collins),1.950,0.660
2,2:00,4,1,DET 39,14,7,Jonathan Taylor up the middle for 2 yards (tackle by Da'Shawn Hand),0.660,3.120
2,1:25,1,10,DET 37,14,7,Philip Rivers pass complete short right to Trey Burton for 8 yards (tackle by Justin Coleman and Jahlani Tavai),3.120,3.650
2,1:02,2,2,DET 29,20,7,"Philip Rivers pass complete deep right to Nyheim Hines for 29 yards, touchdown",3.650,7.000
2,0:56,,,DET 15,20,7,Rodrigo Blankenship kicks extra point no good wide right,0.000,-1.000
2,0:56,,,IND 35,20,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,0:56,1,10,DET 25,20,7,Matthew Stafford pass incomplete short left intended for Kenny Golladay,0.610,0.060
2,0:52,2,10,DET 25,20,7,Matthew Stafford pass complete short right to T.J. Hockenson for 10 yards (tackle by Kenny Moore),0.060,1.270
2,0:46,,,,,,Timeout #1 by Detroit Lions,,
2,0:46,1,10,DET 35,20,7,Matthew Stafford pass complete short middle to Danny Amendola for 16 yards (tackle by Bobby Okereke),1.270,2.320
2,0:41,,,,,,Timeout #2 by Detroit Lions,,
2,0:41,1,10,IND 49,20,7,Matthew Stafford pass complete short right to T.J. Hockenson for -2 yards (tackle by Darius Leonard),2.320,1.510
2,0:21,2,12,DET 49,20,7,Matthew Stafford pass complete short middle to T.J. Hockenson for 6 yards (tackle by Darius Leonard),1.510,1.620
2,0:17,,,,,,Timeout #3 by Detroit Lions,,
2,0:17,3,6,IND 45,20,7,Matthew Stafford pass complete short middle to T.J. Hockenson for 15 yards (tackle by Khari Willis),1.620,3.580
2,0:06,1,10,IND 30,20,7,Matthew Stafford spiked the ball,3.580,3.030
2,0:05,2,10,IND 30,20,7,Matt Prater 48 yard field goal no good,3.030,1.400
Quarter,Time,Down,ToGo,Location,IND,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,20,7,"Rigoberto Sanchez kicks off 66 yards, returned by Jamal Agnew for 33 yards (tackle by Tavon Wilson)",0.000,1.070
3,14:53,1,10,DET 32,20,7,Adrian Peterson right tackle for no gain (tackle by Darius Leonard),1.070,0.530
3,14:15,2,10,DET 32,20,7,Adrian Peterson left tackle for 2 yards (tackle by Khari Willis),0.530,0.100
3,13:40,3,8,DET 34,20,7,Matthew Stafford pass complete short middle to T.J. Hockenson for 15 yards (tackle by Darius Leonard and Khari Willis),0.100,2.190
3,13:08,1,10,DET 49,20,7,Matthew Stafford pass complete short left to Adrian Peterson for 5 yards (tackle by Bobby Okereke),2.190,2.320
