Quarter,Time,Tm,Detail,IND,DET
1.0,5:42,Lions,Marvin Jones 25 yard pass from Matthew Stafford (Matt Prater kick),0,7
2.0,11:10,Colts,Nyheim Hines 22 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,7
,5:32,Colts,Jack Doyle 7 yard pass from Philip Rivers (Rodrigo Blankenship kick),14,7
,0:56,Colts,Nyheim Hines 29 yard pass from Philip Rivers (Rodrigo Blankenship kick failed),20,7
3.0,11:08,Lions,Kerryon Johnson 9 yard pass from Matthew Stafford (Matt Prater kick),20,14
4.0,13:34,Colts,Jordan Wilkins 1 yard rush (Jordan Wilkins run),28,14
,13:26,Colts,Kenny Moore 29 yard interception return (Rodrigo Blankenship kick),35,14
,12:15,Lions,Marvin Jones 4 yard pass from Matthew Stafford (Matt Prater kick),35,21
,7:01,Colts,Trey Burton 2 yard rush (Rodrigo Blankenship kick failed),41,21
