Unnamed: 0,IND,DET
First Downs,26,20
Rush-Yds-TDs,39-119-2,13-29-0
Cmp-Att-Yd-TD-INT,23-34-262-3-0,24-42-336-3-1
Sacked-Yards,2-15,5-39
Net Pass Yards,247,297
Total Yards,366,326
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,3-19,4-76
Third Down Conv.,7-14,7-14
Fourth Down Conv.,1-1,0-1
Time of Possession,37:46,22:14
