Quarter,Time,Tm,Detail,NOR,ATL
1.0,11:09,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),0,7
2.0,14:08,Falcons,Tony Gonzalez 17 yard pass from Matt Ryan (Matt Bryant kick),0,14
,8:53,Falcons,Matt Bryant 45 yard field goal,0,17
,3:17,Saints,Mark Ingram 1 yard rush (Garrett Hartley kick),7,17
3.0,8:24,Saints,Garrett Hartley 21 yard field goal,10,17
,3:53,Saints,Garrett Hartley 52 yard field goal,13,17
4.0,14:48,Falcons,Matt Bryant 29 yard field goal,13,20
,4:25,Falcons,Matt Bryant 55 yard field goal,13,23
