Quarter,Time,Tm,Detail,BUF,NYJ
1.0,9:37,Bills,Robert Woods 22 yard pass from Kyle Orton (Dan Carpenter kick),7,0
,4:36,Bills,Lee Smith 1 yard pass from Kyle Orton (Dan Carpenter kick),14,0
2.0,14:22,Jets,Chris Ivory 2 yard rush (Nick Folk kick),14,7
,11:50,Bills,Frank Summers 2 yard rush (Dan Carpenter kick),21,7
,6:16,Bills,Dan Carpenter 53 yard field goal,24,7
,1:50,Jets,Chris Ivory 2 yard rush (Nick Folk kick),24,14
,0:00,Jets,Nick Folk 55 yard field goal,24,17
3.0,8:31,Bills,Dan Carpenter 36 yard field goal,27,17
,1:11,Bills,Dan Carpenter 29 yard field goal,30,17
4.0,14:11,Bills,Scott Chandler 12 yard pass from Kyle Orton (Dan Carpenter kick),37,17
,9:46,Bills,Sammy Watkins 61 yard pass from Kyle Orton (Dan Carpenter kick failed),43,17
,4:06,Jets,Bilal Powell 3 yard rush (pass failed),43,23
