Unnamed: 0,BAL,SDG
First Downs,19,23
Rush-Yds-TDs,14-89-0,37-145-3
Cmp-Att-Yd-TD-INT,24-35-244-2-2,17-23-270-1-0
Sacked-Yards,7-43,0-0
Net Pass Yards,201,270
Total Yards,290,415
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,3-25,3-35
Third Down Conv.,7-12,6-10
Fourth Down Conv.,0-0,0-1
Time of Possession,25:48,34:12
