Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,Ray Rice left end for 22 yards (tackle by Eric Weddle),0.280,1.730
1,14:19,1,10,BAL 42,0,0,Ray Rice left tackle for -2 yards (tackle by Shaun Phillips),1.730,0.920
1,13:36,2,12,BAL 40,0,0,Joe Flacco pass incomplete short right intended for Anquan Boldin,0.920,0.230
1,13:31,3,12,BAL 40,0,0,Joe Flacco pass complete short middle to Anquan Boldin for 33 yards (tackle by Eric Weddle and Steve Gregory),0.230,3.780
1,12:51,1,10,SDG 27,0,0,Joe Flacco pass incomplete deep left intended for Lee Evans (defended by Antoine Cason),3.780,3.230
1,12:45,2,10,SDG 27,0,0,Joe Flacco pass incomplete deep left intended for Lee Evans (defended by Eric Weddle),3.230,2.540
1,12:39,3,10,SDG 27,0,0,Joe Flacco pass complete short middle to Ray Rice for 9 yards (tackle by Eric Weddle),2.540,2.400
1,11:56,4,1,SDG 18,0,0,Billy Cundiff 36 yard field goal no good,2.400,-0.670
1,11:51,1,10,SDG 26,0,0,Philip Rivers pass complete short right to Ryan Mathews for 13 yards (tackle by Haloti Ngata),0.670,1.530
1,11:09,1,10,SDG 39,0,0,Philip Rivers pass incomplete short right intended for Vincent Jackson,1.530,0.990
1,11:04,2,10,SDG 39,0,0,Ryan Mathews up the middle for 2 yards (tackle by Ray Lewis and Haloti Ngata),0.990,0.560
1,10:22,3,8,SDG 41,0,0,Philip Rivers pass complete short left to Randy McMichael for 9 yards (tackle by Brendon Ayanbadejo),0.560,2.260
1,9:41,1,10,,0,0,Vincent Jackson right end for 9 yards (tackle by Jimmy Smith),2.260,2.930
1,9:07,2,1,BAL 41,0,0,"Ryan Mathews up the middle for 6 yards (tackle by Cary Williams). Ryan Mathews fumbles (forced by Cary Williams), recovered by Jared Gaither at BAL-35",2.930,3.250
1,8:19,1,10,BAL 35,0,0,Philip Rivers pass complete short right to Vincent Jackson for 15 yards (tackle by Jimmy Smith),3.250,4.240
1,7:36,1,10,BAL 20,0,0,Philip Rivers pass complete short right to Randy McMichael for no gain,4.240,3.690
1,6:52,2,10,BAL 20,0,0,Philip Rivers pass complete short middle to Malcom Floyd for 12 yards (tackle by Jimmy Smith),3.690,5.370
1,6:12,1,8,BAL 8,0,0,Philip Rivers pass complete short left to Ryan Mathews for 6 yards (tackle by Cary Williams),5.370,5.720
1,5:34,,,,0,0,Timeout #1 by San Diego Chargers,0.000,5.720
1,5:34,2,2,BAL 2,0,0,Mike Tolbert right tackle for no gain (tackle by Jameel McClain and Ed Reed),5.720,4.950
1,4:50,3,2,BAL 2,0,6,"Mike Tolbert up the middle for 2 yards, touchdown",4.950,7.000
1,,,,BAL 2,0,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,SDG 35,0,7,"Nick Novak kicks off 63 yards, returned by Tom Zbikowski for 23 yards (tackle by Jacob Hester)",0.000,0.610
1,4:41,1,10,BAL 25,0,7,Ray Rice right tackle for 7 yards (tackle by Steve Gregory),0.610,1.010
1,4:03,2,3,BAL 32,0,7,Ray Rice left guard for 3 yards (tackle by Donald Butler and Takeo Spikes),1.010,1.270
1,3:23,1,10,BAL 35,0,7,Ray Rice right end for no gain (tackle by Vaughn Martin and Antonio Garay),1.270,0.720
1,2:40,2,10,BAL 35,0,7,Joe Flacco pass complete short right to Dennis Pitta for 11 yards (tackle by Steve Gregory and Shaun Phillips),0.720,1.990
1,2:02,1,10,BAL 46,0,7,Ray Rice left tackle for 6 yards (tackle by Takeo Spikes and Vaughn Martin),1.990,2.260
1,1:24,2,4,SDG 48,0,7,Ricky Williams left end for 7 yards (tackle by Donald Butler),2.260,2.850
1,0:44,1,10,SDG 41,0,7,Joe Flacco pass incomplete short right intended for Ricky Williams,2.850,2.310
1,0:38,2,10,SDG 41,0,7,Joe Flacco pass incomplete short middle intended for Torrey Smith,2.310,1.620
1,0:33,3,10,SDG 41,0,7,Joe Flacco right end for 12 yards (tackle by Quentin Jammer),1.620,3.640
Quarter,Time,Down,ToGo,Location,BAL,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 29,0,7,Ray Rice right tackle for 12 yards (tackle by Quentin Jammer and Takeo Spikes),3.640,4.440
2,14:24,1,10,SDG 17,0,7,Ray Rice right tackle for 2 yards (tackle by Corey Liuget and Vaughn Martin),4.440,4.150
2,13:40,2,8,SDG 15,0,7,Joe Flacco pass incomplete short right intended for Ed Dickson,4.150,3.340
2,13:33,3,8,SDG 15,6,7,"Joe Flacco pass complete short middle to Ed Dickson for 15 yards, touchdown",3.340,7.000
2,,,,SDG 2,7,7,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,BAL 35,7,7,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
2,13:27,1,10,SDG 20,7,7,Ryan Mathews right end for 3 yards (tackle by Ray Lewis and Jameel McClain),0.280,0.140
2,12:47,2,7,SDG 23,7,7,Philip Rivers pass complete short right to Antonio Gates for 11 yards (tackle by Bernard Pollard),0.140,1.200
2,12:02,1,10,SDG 34,7,7,Ryan Mathews right tackle for 1 yard (tackle by Terrence Cody and Haloti Ngata),1.200,0.790
2,11:21,2,9,SDG 35,7,7,"Philip Rivers sacked by Cory Redding for -8 yards. Penalty on Terrell Suggs: Unnecessary Roughness, 15 yards (no play)",0.790,2.260
2,10:52,1,10,,7,7,Ryan Mathews right end for 1 yard (tackle by Cory Redding and Terrence Cody),2.260,1.850
2,10:09,2,9,BAL 49,7,7,Philip Rivers pass complete deep middle to Antonio Gates for 20 yards (tackle by Tom Zbikowski),1.850,3.640
2,9:26,1,10,BAL 29,7,7,Ryan Mathews left end for -5 yards (tackle by Jarret Johnson),3.640,2.420
2,8:42,2,15,BAL 34,7,7,Philip Rivers pass incomplete deep middle intended for Vincent Jackson,2.420,1.750
2,8:34,3,15,BAL 34,7,7,Philip Rivers pass complete short right to Mike Tolbert for 7 yards (tackle by Ray Lewis and Brendon Ayanbadejo),1.750,1.670
2,7:51,4,8,BAL 27,7,10,Nick Novak 45 yard field goal good,1.670,3.000
2,,,,SDG 35,7,10,"Nick Novak kicks off 63 yards, returned by Tom Zbikowski for 23 yards (tackle by Jacob Hester)",0.000,0.610
2,7:38,1,10,BAL 25,7,10,Ricky Williams right guard for 5 yards (tackle by Antonio Garay and Antwan Barnes),0.610,0.740
2,7:03,2,5,BAL 30,7,10,Joe Flacco pass complete short right to Ricky Williams for no gain,0.740,0.040
2,6:17,3,5,BAL 30,7,10,"Penalty on Bryant McKinnie: False Start, 5 yards (no play)",0.040,-0.620
2,5:52,3,10,BAL 25,7,10,Joe Flacco pass complete short right to Torrey Smith for 11 yards (tackle by Quentin Jammer),-0.620,1.330
2,5:08,1,10,BAL 36,7,10,Joe Flacco pass complete short right to Ray Rice for -1 yards (tackle by Takeo Spikes),1.330,0.660
2,4:27,2,11,BAL 35,7,10,"Penalty on Antonio Garay: Encroachment, 5 yards (no play)",0.660,1.330
2,4:07,2,6,BAL 40,7,10,Ray Rice right tackle for 3 yards (tackle by Antwan Barnes),1.330,1.030
2,3:26,3,3,BAL 43,7,10,Joe Flacco pass incomplete short right intended for Ray Rice,1.030,-0.520
2,3:21,4,3,BAL 43,7,10,"Sam Koch punts 57 yards, touchback",-0.520,-0.280
2,3:11,1,10,SDG 20,7,10,Ryan Mathews up the middle for 2 yards (tackle by Cory Redding and Jarret Johnson),0.280,0.000
2,2:27,2,8,SDG 22,7,10,Philip Rivers pass incomplete short left intended for Malcom Floyd (defended by Jimmy Smith),0.000,-0.690
2,2:21,3,8,SDG 22,7,10,Philip Rivers pass complete deep left to Vincent Jackson for 58 yards (tackle by Cary Williams),-0.690,4.240
2,2:00,1,10,BAL 20,7,10,Philip Rivers pass incomplete short right intended for Vincent Jackson,4.240,3.690
2,1:54,2,10,BAL 20,7,10,Philip Rivers pass complete deep right to Malcom Floyd for 19 yards (tackle by Cary Williams),3.690,6.970
2,1:08,1,1,BAL 1,7,10,Mike Tolbert right tackle for no gain (tackle by Ray Lewis),6.970,5.910
2,0:26,2,1,BAL 1,7,16,"Ryan Mathews right end for 1 yard, touchdown",5.910,7.000
2,,,,BAL 2,7,17,Nick Novak kicks extra point good,0.000,0.000
2,,,,SDG 35,7,17,"Nick Novak kicks off 66 yards, returned by Tom Zbikowski for 22 yards (tackle by Bront Bird)",0.000,0.340
