Quarter,Time,Tm,Detail,KAN,WAS
1.0,9:09,Chiefs,Darrel Williams 2 yard rush (Harrison Butker kick),7,0
,3:30,Football Team,Dustin Hopkins 50 yard field goal,7,3
2.0,12:33,Chiefs,Harrison Butker 52 yard field goal,10,3
,8:07,Football Team,Dustin Hopkins 43 yard field goal,10,6
,1:18,Football Team,Ricky Seals-Jones 39 yard pass from Taylor Heinicke (Dustin Hopkins kick),10,13
3.0,4:07,Chiefs,Tyreek Hill 2 yard pass from Patrick Mahomes (Harrison Butker kick),17,13
4.0,14:02,Chiefs,Darrel Williams 3 yard rush (Harrison Butker kick),24,13
,3:14,Chiefs,Demarcus Robinson 24 yard pass from Patrick Mahomes (Harrison Butker kick),31,13
