Unnamed: 0,KAN,WAS
First Downs,29,15
Rush-Yds-TDs,28-109-2,19-94-0
Cmp-Att-Yd-TD-INT,32-47-397-2-2,24-39-182-1-1
Sacked-Yards,3-7,0-0
Net Pass Yards,390,182
Total Yards,499,276
Fumbles-Lost,2-1,1-1
Turnovers,3,2
Penalties-Yards,5-47,6-44
Third Down Conv.,11-17,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,33:53,26:07
