Unnamed: 0,MIA,DEN
First Downs,21,14
Rush-Yds-TDs,29-75-1,12-14-0
Cmp-Att-Yd-TD-INT,23-40-281-0-1,24-46-307-2-3
Sacked-Yards,3-15,1-2
Net Pass Yards,266,305
Total Yards,341,319
Fumbles-Lost,0-0,0-0
Turnovers,1,3
Penalties-Yards,2-42,10-81
Third Down Conv.,4-14,6-16
Fourth Down Conv.,1-1,0-1
Time of Possession,36:32,23:28
