Quarter,Time,Down,ToGo,Location,MIA,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Dan Carpenter kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Michael Pittman up the middle for -1 yards (tackle by Kendall Langford),0.280,-0.460
1,14:27,2,11,DEN 19,0,0,Michael Pittman left end for 1 yard (tackle by Channing Crowder and Vonnie Holliday),-0.460,-0.960
1,13:48,3,10,DEN 20,0,0,Jay Cutler pass incomplete deep right intended for Brandon Stokley is intercepted by Jason Allen at DEN-36 and returned for 2 yards (tackle by Brandon Stokley),-0.960,-3.310
1,13:40,1,10,DEN 34,0,0,Ronnie Brown left tackle for 2 yards (tackle by Dewayne Robertson),3.310,3.040
1,13:03,2,8,DEN 32,0,0,Ronnie Brown right tackle for 4 yards (tackle by Jamie Winborn and Ebenezer Ekuban),3.040,2.870
1,12:22,3,4,DEN 28,0,0,Ronnie Brown up the middle for 1 yard (tackle by Elvis Dumervil),2.870,1.770
1,11:40,4,3,DEN 27,3,0,Dan Carpenter 45 yard field goal good,1.770,3.000
1,,,,MIA 30,3,0,"Dan Carpenter kicks off 70 yards, returned by Eddie Royal for 23 yards (tackle by Reggie Torbor)",0.000,0.480
1,11:29,1,10,DEN 23,3,0,Jay Cutler pass complete short right to Peyton Hillis for 5 yards (tackle by Will Allen),0.480,0.610
1,10:55,2,5,DEN 28,3,0,Jay Cutler pass incomplete short left intended for Brandon Stokley,0.610,-0.100
1,10:50,3,5,DEN 28,3,0,Jay Cutler pass incomplete short left intended for Darrell Jackson,-0.100,-1.500
1,10:46,4,5,DEN 28,3,0,Brett Kern punts 61 yards,-1.500,0.350
1,10:38,1,10,MIA 12,3,0,Ronnie Brown up the middle for 1 yard (tackle by D.J. Williams and Elvis Dumervil),-0.350,-0.700
1,10:02,2,9,MIA 13,3,0,Ronnie Brown right guard for 30 yards (tackle by Marlon McCree),-0.700,1.800
1,9:19,1,10,MIA 43,3,0,"Ricky Williams left guard for 4 yards (tackle by Nate Webster and Dre' Bly). Penalty on Dewayne Robertson: Defensive Holding, 5 yards",1.800,2.390
1,8:54,1,10,DEN 48,3,0,Chad Pennington pass incomplete short right intended for Lousaka Polite (defended by Jamie Winborn),2.390,1.850
1,8:48,2,10,DEN 48,3,0,"Chad Pennington pass incomplete short right intended for Greg Camarillo. Penalty on Elvis Dumervil: Neutral Zone Infraction, 5 yards (no play)",1.850,2.520
1,8:48,2,5,DEN 43,3,0,Ronnie Brown right end for 1 yard (tackle by Nic Clemons and Nate Webster),2.520,1.950
1,8:17,,,,3,0,Timeout #1 by Miami Dolphins,0.000,1.950
1,8:17,3,4,DEN 42,3,0,Chad Pennington pass complete short left to Greg Camarillo for 12 yards (tackle by Josh Bell),1.950,3.580
1,7:33,1,10,DEN 30,3,0,Ronnie Brown up the middle for 2 yards (tackle by Dre' Bly),3.580,3.300
1,6:52,2,8,DEN 28,3,0,Chad Pennington sacked by Jarvis Moss for -1 yards,3.300,2.480
1,6:06,3,9,DEN 29,3,0,Chad Pennington pass incomplete short right intended for Greg Camarillo,2.480,1.500
1,6:01,4,9,DEN 29,6,0,Dan Carpenter 47 yard field goal good,1.500,3.000
1,,,,MIA 30,6,0,"Dan Carpenter kicks off 72 yards, returned by Eddie Royal for 27 yards (tackle by Nate Jones)",0.000,0.610
1,5:51,1,10,DEN 25,6,0,Michael Pittman left tackle for 2 yards (tackle by Vonnie Holliday),0.610,0.330
1,5:13,2,8,DEN 27,6,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,0.330,-0.360
1,5:05,3,8,DEN 27,12,0,"Jay Cutler pass incomplete short right intended for Brandon Marshall is intercepted by Will Allen at DEN-32 and returned for 32 yards, touchdown",-0.360,-7.000
1,,,,DEN 2,13,0,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 30,13,0,"Dan Carpenter kicks off 70 yards, returned by Eddie Royal for 95 yards (tackle by Patrick Cobbs)",0.000,6.060
1,4:38,1,5,MIA 5,13,0,Ryan Torain up the middle for 3 yards (tackle by Yeremiah Bell and Channing Crowder),6.060,5.720
1,3:58,2,2,MIA 2,13,0,Jay Cutler pass incomplete short right intended for Darrell Jackson,5.720,4.950
1,3:54,3,2,MIA 2,13,6,"Jay Cutler pass complete short middle to Eddie Royal for 2 yards, touchdown",4.950,7.000
1,,,,MIA 2,13,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,13,7,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
