Unnamed: 0,TAM,LVR
First Downs,29,19
Rush-Yds-TDs,25-85-2,24-76-0
Cmp-Att-Yd-TD-INT,33-45-369-4-0,24-36-284-2-1
Sacked-Yards,0-0,3-13
Net Pass Yards,369,271
Total Yards,454,347
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,4-20,4-35
Third Down Conv.,7-12,5-13
Fourth Down Conv.,1-1,1-2
Time of Possession,28:56,31:04
