Quarter,Time,Tm,Detail,TAM,LVR
1.0,9:55,Raiders,Nelson Agholor 20 yard pass from Derek Carr (Daniel Carlson kick),0,7
,5:37,Buccaneers,Tom Brady 1 yard rush (Ryan Succop kick),7,7
2.0,14:51,Raiders,Daniel Carlson 42 yard field goal,7,10
,4:21,Buccaneers,Rob Gronkowski 5 yard pass from Tom Brady (Ryan Succop kick),14,10
,0:17,Buccaneers,Scott Miller 33 yard pass from Tom Brady (Ryan Succop kick),21,10
3.0,8:16,Buccaneers,Ryan Succop 29 yard field goal,24,10
,4:15,Raiders,Darren Waller 1 yard pass from Derek Carr (Daniel Carlson kick),24,17
4.0,12:43,Raiders,Daniel Carlson 36 yard field goal,24,20
,7:22,Buccaneers,Chris Godwin 4 yard pass from Tom Brady (Ryan Succop kick),31,20
,6:40,Buccaneers,Ronald Jones II 1 yard rush (Ryan Succop kick),38,20
,3:08,Buccaneers,Tyler Johnson 1 yard pass from Tom Brady (Ryan Succop kick),45,20
