Quarter,Time,Down,ToGo,Location,TAM,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 62 yards, returned by Jaydon Mickens for 21 yards (tackle by Derek Carrier and Kyle Wilber)",0.000,0.540
1,14:53,1,10,TAM 24,0,0,Tom Brady pass incomplete deep left intended for Rob Gronkowski,0.540,0.000
1,14:47,2,10,TAM 24,0,0,Ronald Jones right guard for no gain (tackle by Jeff Heath),0.000,-0.690
1,14:18,3,10,TAM 24,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 3 yards (tackle by Trayvon Mullen),-0.690,-1.570
1,13:39,4,7,TAM 27,0,0,"Bradley Pinion punts 43 yards, fair catch by Hunter Renfrow at LV-30",-1.570,-0.940
1,13:32,1,10,LVR 30,0,0,Josh Jacobs left guard for 3 yards (tackle by Shaquil Barrett and Devin White),0.940,0.800
1,12:58,2,7,LVR 33,0,0,Derek Carr pass complete deep middle to Nelson Agholor for 28 yards (tackle by Jordan Whitehead),0.800,2.980
1,12:15,1,10,TAM 39,0,0,Josh Jacobs left guard for no gain (tackle by Devin White),2.980,2.440
1,11:32,2,10,TAM 39,0,0,Derek Carr pass complete short middle to Darren Waller for 14 yards (tackle by Jordan Whitehead),2.440,3.910
1,10:48,1,10,TAM 25,0,0,Josh Jacobs left guard for 5 yards (tackle by William Gholston and Steve McLendon),3.910,4.040
1,10:02,2,5,TAM 20,0,6,"Derek Carr pass complete deep middle to Nelson Agholor for 20 yards, touchdown",4.040,7.000
1,9:55,,,TAM 15,0,7,Daniel Carlson kicks extra point good,0.000,0.000
1,9:55,,,LVR 35,0,7,"Daniel Carlson kicks off 57 yards, returned by Jaydon Mickens for 15 yards (tackle by Raekwon McMillan)",0.000,0.480
1,9:51,1,10,TAM 23,0,7,Ronald Jones left guard for -1 yards (tackle by Clelin Ferrell and Maxx Crosby),0.480,-0.200
1,9:14,2,11,TAM 22,0,7,Tom Brady pass complete short left to Chris Godwin for 6 yards (tackle by Cory Littleton and Johnathan Hankins),-0.200,-0.100
1,8:35,3,5,TAM 28,0,7,"Tom Brady pass complete deep left to Rob Gronkowski for 22 yards (tackle by Erik Harris). Rob Gronkowski fumbles, ball out of bounds at 50 (forced by Erik Harris)",-0.100,2.260
1,8:24,1,10,TAM 50,0,7,Ronald Jones right guard for 13 yards (tackle by Cory Littleton and Erik Harris),2.260,3.120
1,7:54,1,10,LVR 37,0,7,Ronald Jones left tackle for 8 yards (tackle by Nick Kwiatkoski). Penalty on Clelin Ferrell: Defensive Offside (Declined),3.120,3.650
1,7:46,2,2,LVR 29,0,7,Ronald Jones right tackle for 9 yards (tackle by Trayvon Mullen),3.650,4.240
1,7:12,1,10,LVR 20,0,7,Tom Brady pass complete short right to Tanner Hudson for 12 yards,4.240,5.370
1,6:46,1,8,LVR 8,0,7,Ronald Jones right guard for -1 yards (tackle by Cory Littleton and Carl Nassib),5.370,4.380
1,6:08,2,9,LVR 9,0,7,Tom Brady pass complete short middle to Leonard Fournette for 8 yards (tackle by Jeff Heath and Nick Kwiatkoski),4.380,5.170
1,5:41,3,1,LVR 1,6,7,"Tom Brady right guard for 1 yard, touchdown",5.170,7.000
1,5:37,,,LVR 15,7,7,Ryan Succop kicks extra point good,0.000,0.000
1,5:37,,,TAM 35,7,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,5:37,1,10,LVR 25,7,7,Josh Jacobs left tackle for 4 yards (tackle by Rakeem Nunez-Roches and Antoine Winfield),0.610,0.600
1,5:05,2,6,LVR 29,7,7,Derek Carr pass complete short left to Josh Jacobs for 5 yards (tackle by Lavonte David),0.600,0.560
1,4:21,3,1,LVR 34,7,7,Derek Carr pass incomplete short right intended for Darren Waller,0.560,-1.110
1,4:17,4,1,LVR 34,7,7,Jeff Heath left guard for 1 yard (tackle by Anthony Nelson),-1.110,1.270
1,3:29,1,10,LVR 35,7,7,Derek Carr pass complete short right to Josh Jacobs for 7 yards (tackle by Carlton Davis),1.270,1.670
1,2:53,2,3,LVR 42,7,7,Josh Jacobs right end for -1 yards (tackle by Shaquil Barrett),1.670,0.830
1,2:14,3,4,LVR 41,7,7,Derek Carr pass complete short left to Henry Ruggs for 29 yards (tackle by Devin White),0.830,3.580
1,1:25,1,10,TAM 30,7,7,Jalen Richard right tackle for 2 yards (tackle by Steve McLendon),3.580,3.300
1,0:40,2,8,TAM 28,7,7,"Penalty on Sam Young: False Start, 5 yards (no play)",3.300,2.630
1,0:17,2,13,TAM 33,7,7,Derek Carr pass complete short left to Nelson Agholor for 9 yards (tackle by Jamel Dean),2.630,3.140
Quarter,Time,Down,ToGo,Location,TAM,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,TAM 24,7,7,Derek Carr pass incomplete short right intended for Darren Waller (defended by Shaquil Barrett),3.140,1.940
2,14:56,4,4,TAM 24,7,10,Daniel Carlson 42 yard field goal good,1.940,3.000
2,14:51,,,LVR 35,7,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,14:51,1,10,TAM 25,7,10,Ronald Jones right tackle for 3 yards (tackle by Jeff Heath),0.610,0.470
2,14:17,2,7,TAM 28,7,10,Tom Brady pass complete short left to Scott Miller for 8 yards (tackle by Nevin Lawson),0.470,1.330
2,13:53,1,10,TAM 36,7,10,Tom Brady pass incomplete short left intended for Ronald Jones,1.330,0.790
2,13:48,2,10,TAM 36,7,10,Tom Brady pass complete short left to Leonard Fournette for 6 yards (tackle by Nevin Lawson),0.790,0.890
2,13:13,3,4,TAM 42,7,10,Tom Brady pass incomplete short left intended for Leonard Fournette,0.890,-0.590
2,13:08,4,4,TAM 42,7,10,Bradley Pinion punts 49 yards out of bounds,-0.590,0.380
2,13:01,1,10,LVR 9,7,10,Derek Carr pass complete short right to Nelson Agholor for 6 yards,-0.380,-0.280
2,12:38,2,4,LVR 15,7,10,Devontae Booker right guard for 1 yard (tackle by Steve McLendon and William Gholston),-0.280,-0.600
2,11:55,3,3,LVR 16,7,10,Derek Carr pass complete short middle to Darren Waller for 11 yards (tackle by Devin White),-0.600,0.740
2,11:14,1,10,LVR 27,7,10,Derek Carr pass incomplete short middle intended for Josh Jacobs,0.740,0.200
2,11:09,2,10,LVR 27,7,10,Derek Carr right end for 10 yards (tackle by Carlton Davis),0.200,1.400
2,10:32,1,10,LVR 37,7,10,Josh Jacobs right end for no gain (tackle by Shaquil Barrett),1.400,0.860
2,9:56,2,10,LVR 37,7,10,Derek Carr sacked by Devin White for no gain,0.860,0.170
2,9:08,3,10,LVR 37,7,10,Derek Carr pass incomplete deep middle intended for Nelson Agholor,0.170,-0.910
2,9:00,4,10,LVR 37,7,10,"AJ Cole punts 48 yards, fair catch by Jaydon Mickens at TB-15",-0.910,0.220
2,8:53,1,10,TAM 15,7,10,Tom Brady pass complete short middle to Leonard Fournette for 11 yards (tackle by Nick Kwiatkoski),-0.220,0.670
2,8:19,1,10,TAM 26,7,10,Leonard Fournette left guard for 1 yard (tackle by Johnathan Hankins),0.670,0.270
2,7:43,2,9,TAM 27,7,10,Tom Brady pass complete short middle to Chris Godwin for 16 yards (tackle by Erik Harris),0.270,1.800
2,7:08,1,10,TAM 43,7,10,Leonard Fournette right tackle for 24 yards (tackle by Erik Harris),1.800,3.380
2,6:27,1,10,LVR 33,7,10,Leonard Fournette left guard for 3 yards (tackle by Clelin Ferrell),3.380,3.240
2,5:49,2,7,LVR 30,7,10,Tom Brady pass complete deep right to Rob Gronkowski for 26 yards (tackle by Jeff Heath),3.240,6.280
2,5:05,1,4,LVR 4,7,10,Leonard Fournette left tackle for -1 yards (tackle by Carl Nassib),6.280,5.150
2,4:26,2,5,LVR 5,13,10,"Tom Brady pass complete short left to Rob Gronkowski for 5 yards, touchdown",5.150,7.000
2,4:21,,,LVR 15,14,10,Ryan Succop kicks extra point good,0.000,0.000
2,4:21,,,TAM 35,14,10,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,4:21,1,10,LVR 25,14,10,Josh Jacobs right guard for -1 yards (tackle by Steve McLendon and Lavonte David),0.610,-0.070
2,3:48,2,11,LVR 24,14,10,"Derek Carr pass incomplete deep right intended for Henry Ruggs. Penalty on Sean Murphy-Bunting: Defensive Holding, 5 yards (no play)",-0.070,0.870
2,3:41,1,10,LVR 29,14,10,Derek Carr pass complete short right to Alec Ingold for 21 yards (tackle by Jordan Whitehead),0.870,2.260
2,2:56,1,10,LVR 50,14,10,Derek Carr pass incomplete deep middle intended for Darren Waller,2.260,1.710
