Unnamed: 0,CIN,BAL
First Downs,15,23
Rush-Yds-TDs,16-48-1,53-267-2
Cmp-Att-Yd-TD-INT,19-37-211-2-0,13-19-150-0-1
Sacked-Yards,1-4,3-14
Net Pass Yards,207,136
Total Yards,255,403
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-58,5-31
Third Down Conv.,6-14,8-16
Fourth Down Conv.,0-1,0-1
Time of Possession,21:51,38:09
