Quarter,Time,Tm,Detail,ARI,JAX
1.0,12:53,Jaguars,Danny Noble 62 yard pass from Chad Henne (Josh Scobee kick),0,7
,7:50,Cardinals,Larry Fitzgerald 14 yard pass from Carson Palmer (Jay Feely kick),7,7
,5:08,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),7,14
2.0,1:55,Cardinals,Rashard Mendenhall 5 yard rush (Jay Feely kick),14,14
3.0,10:36,Cardinals,Jay Feely 21 yard field goal,17,14
,7:29,Cardinals,Michael Floyd 91 yard pass from Carson Palmer (Jay Feely kick),24,14
4.0,7:03,Cardinals,Jay Feely 32 yard field goal,27,14
