Unnamed: 0,ARI,JAX
First Downs,19,14
Rush-Yds-TDs,24-14-1,16-32-1
Cmp-Att-Yd-TD-INT,30-42-419-2-0,27-42-255-1-2
Sacked-Yards,3-17,2-13
Net Pass Yards,402,242
Total Yards,416,274
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,5-42,6-40
Third Down Conv.,5-16,2-14
Fourth Down Conv.,0-0,2-3
Time of Possession,35:53,24:07
