Quarter,Time,Tm,Detail,NYJ,BAL
1.0,6:31,Ravens,Matt Stover 42 yard field goal,0,3
2.0,3:47,Ravens,Matt Stover 25 yard field goal,0,6
3.0,11:17,Jets,Mike Nugent 21 yard field goal,3,6
,3:12,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),3,13
