Unnamed: 0,NYJ,BAL
First Downs,8,17
Rush-Yds-TDs,15-28-0,45-115-1
Cmp-Att-Yd-TD-INT,14-28-149-0-0,15-21-144-0-1
Sacked-Yards,5-25,0-0
Net Pass Yards,124,144
Total Yards,152,259
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-39,3-19
Third Down Conv.,3-14,5-14
Fourth Down Conv.,0-1,1-1
Time of Possession,21:59,38:01
