Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Mike Nugent kicks off 65 yards, returned by B.J. Sams for 21 yards (tackle by Derrick Strait)",0.000,0.670
1,14:53,1,10,BAL 26,0,0,"Anthony Wright sacked by John Abraham for -8 yards. Anthony Wright fumbles (forced by John Abraham), recovered by John Abraham at BAL-13 and returned for 13 yards. Penalty on John Abraham: Defensive Offside (Offsetting), Penalty on Todd Heap: Offensive Holding (Offsetting) (no play)",0.670,0.670
1,14:53,1,10,BAL 26,0,0,Jamal Lewis left guard for 4 yards (tackle by Jonathan Vilma and Dewayne Robertson),0.670,0.670
1,14:06,2,6,BAL 30,0,0,Jamal Lewis up the middle for no gain (tackle by Jonathan Vilma),0.670,-0.030
1,13:28,3,6,BAL 30,0,0,Anthony Wright pass complete to Derrick Mason for 4 yards (tackle by Derrick Strait),-0.030,-1.110
1,13:12,4,2,BAL 34,0,0,"Dave Zastudil punts 44 yards, returned by Jerricho Cotchery for 6 yards (tackle by Ovie Mughelli)",-1.110,-0.810
1,13:02,1,10,NYJ 28,0,0,Curtis Martin right end for no gain (tackle by Chris McAlister),0.810,0.260
1,13:02,2,10,NYJ 28,0,0,Curtis Martin left end for 2 yards (tackle by Anthony Weaver and Terrell Suggs),0.260,-0.160
1,11:37,3,8,NYJ 30,0,0,Brooks Bollinger pass incomplete intended for Laveranues Coles,-0.160,-1.370
1,11:37,4,8,NYJ 30,0,0,"Ben Graham punts 42 yards, returned by B.J. Sams for 16 yards (tackle by Derrick Strait)",-1.370,-1.860
1,11:21,1,10,BAL 44,0,0,Jamal Lewis up the middle for 5 yards (tackle by Shaun Ellis and Mark Brown),1.860,1.990
1,10:46,2,5,BAL 49,0,0,Jamal Lewis right guard for 2 yards (tackle by Dewayne Robertson),1.990,1.550
1,10:46,3,3,NYJ 49,0,0,Anthony Wright pass complete to Todd Heap for 9 yards (tackle by Erik Coleman),1.550,2.920
1,9:23,1,10,NYJ 40,0,0,Chester Taylor left tackle for 4 yards (tackle by Jonathan Vilma),2.920,2.910
1,8:50,2,6,NYJ 36,0,0,Jamal Lewis up the middle for 4 yards (tackle by David Barrett),2.910,2.740
1,8:08,3,2,NYJ 32,0,0,Jamal Lewis left tackle for 5 yards (tackle by Kerry Rhodes and Erik Coleman),2.740,3.780
1,7:26,1,10,NYJ 27,0,0,Anthony Wright pass incomplete intended for Mark Clayton,3.780,3.230
1,7:21,2,10,NYJ 27,0,0,Chester Taylor right guard for 3 yards (tackle by James Reed and Mark Brown),3.230,2.940
1,6:42,3,7,NYJ 24,0,0,Anthony Wright pass incomplete intended for Derrick Mason,2.940,1.870
1,6:36,4,7,NYJ 24,0,3,Matt Stover 42 yard field goal good,1.870,3.000
1,,,,BAL 30,0,3,"Aaron Elling kicks off 63 yards, returned by Justin Miller for 30 yards (tackle by Chad Williams)",0.000,-1.400
1,6:26,1,10,NYJ 37,0,3,Curtis Martin up the middle for 7 yards (tackle by Terrell Suggs),1.400,1.800
1,5:50,2,3,NYJ 44,0,3,"Brooks Bollinger up the middle for no gain (tackle by Ray Lewis). Penalty on NYJ: Illegal Shift, 5 yards (no play)",1.800,1.130
1,5:23,2,8,NYJ 39,0,3,Curtis Martin up the middle for 2 yards (tackle by Anthony Weaver),1.130,0.700
1,4:46,3,6,NYJ 41,0,3,Curtis Martin right guard for 2 yards (tackle by Ed Reed),0.700,-0.520
1,4:46,4,4,NYJ 43,0,3,"Ben Graham punts 57 yards, touchback",-0.520,-0.280
1,4:05,1,10,BAL 20,0,3,Anthony Wright pass complete to Todd Heap for no gain,0.280,-0.270
1,3:25,2,10,BAL 20,0,3,Chester Taylor left guard for no gain (tackle by James Reed),-0.270,-0.960
1,2:48,,,,0,3,Timeout #1 by Baltimore Ravens,0.000,-0.960
1,2:48,3,10,BAL 20,0,3,Anthony Wright pass complete to Todd Heap for 6 yards (tackle by Derrick Strait),-0.960,-1.630
1,2:17,4,4,BAL 26,0,3,"Dave Zastudil punts 43 yards, returned by Jerricho Cotchery for 10 yards (tackle by Ovie Mughelli)",-1.630,-1.660
1,2:05,1,10,NYJ 41,0,3,Curtis Martin left tackle for 3 yards (tackle by Anthony Weaver),1.660,1.530
1,1:27,2,7,NYJ 44,0,3,Curtis Martin left tackle for 8 yards (tackle by Ma'ake Kemoeatu),1.530,2.390
1,0:44,1,10,BAL 48,0,3,Derrick Blaylock left guard for 1 yard (tackle by Will Demps),2.390,1.980
Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,BAL 47,0,3,Brooks Bollinger sacked by Adalius Thomas for -5 yards. Penalty on NYJ: Illegal Formation (Declined),1.980,0.630
2,14:47,3,14,NYJ 48,0,3,Derrick Blaylock up the middle for -3 yards (tackle by Terrell Suggs and Peter Boulware),0.630,-0.390
