Unnamed: 0,CAR,ATL
First Downs,21,24
Rush-Yds-TDs,35-199-2,19-121-0
Cmp-Att-Yd-TD-INT,15-25-215-2-0,25-40-369-3-1
Sacked-Yards,3-10,7-64
Net Pass Yards,205,305
Total Yards,404,426
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,9-64,2-15
Third Down Conv.,4-11,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:06,29:54
