Quarter,Time,Tm,Detail,CAR,ATL
1.0,11:45,Panthers,Greg Olsen 17 yard pass from Cam Newton (Justin Medlock kick),7,0
,0:26,Falcons,Roddy White 49 yard pass from Matt Ryan (Matt Bryant kick),7,7
2.0,13:11,Falcons,Matt Bryant 41 yard field goal,7,10
,8:44,Panthers,DeAngelo Williams 13 yard rush (Justin Medlock kick),14,10
,1:49,Falcons,Roddy White 14 yard pass from Matt Ryan (Matt Bryant kick),14,17
3.0,10:17,Falcons,Michael Turner 60 yard pass from Matt Ryan (Matt Bryant kick),14,24
,3:16,Panthers,Cam Newton 4 yard rush (Justin Medlock kick),21,24
4.0,7:55,Panthers,Kealoha Pilares 36 yard pass from Cam Newton (Justin Medlock kick),28,24
,4:57,Falcons,Matt Bryant 33 yard field goal,28,27
,0:05,Falcons,Matt Bryant 40 yard field goal,28,30
