Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 60 yards, returned by Darren Sproles for 29 yards (tackle by Jon Alston)",0.000,1.530
1,14:55,1,10,SDG 39,0,0,LaDainian Tomlinson up the middle for 8 yards (tackle by Hiram Eugene and Jay Richardson),1.530,2.070
1,14:21,2,2,SDG 47,0,0,LaDainian Tomlinson left end for no gain (tackle by Tommy Kelly),2.070,1.360
1,13:44,3,2,SDG 47,0,0,Philip Rivers pass complete deep right to Vincent Jackson for 46 yards (tackle by Hiram Eugene). Penalty on Nnamdi Asomugha: Defensive Pass Interference (Declined),1.360,5.600
1,13:15,1,7,OAK 7,0,0,LaDainian Tomlinson up the middle for 4 yards (tackle by Gibril Wilson),5.600,5.530
1,12:31,2,3,OAK 3,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Rashad Baker),5.530,4.950
1,11:56,3,2,OAK 2,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,4.950,3.250
1,11:50,4,2,OAK 2,0,3,Nate Kaeding 20 yard field goal good,3.250,3.000
1,,,,SDG 30,0,3,"Nate Kaeding kicks off 59 yards, returned by Justin Miller for 9 yards (tackle by Jacob Hester). Penalty on Isaiah Ekejiuba: Unnecessary Roughness, 10 yards",0.000,-0.380
1,11:40,1,10,OAK 10,0,3,Justin Fargas left tackle for 2 yards (tackle by Luis Castillo),-0.380,-0.630
1,11:01,2,8,OAK 12,0,3,Darren McFadden right end for no gain (tackle by Jyles Tucker),-0.630,-1.190
1,10:16,3,8,OAK 12,0,3,"JaMarcus Russell sacked by Shaun Phillips for 0 yards. JaMarcus Russell fumbles (forced by Shaun Phillips), recovered by Jyles Tucker at OAK-12 (tackle by Zach Miller)",-1.190,-4.780
1,10:07,1,10,OAK 12,0,3,LaDainian Tomlinson left tackle for 7 yards (tackle by Jon Alston and Thomas Howard),4.780,5.410
1,9:31,2,3,OAK 5,0,3,LaDainian Tomlinson left end for 2 yards (tackle by Kirk Morrison and Gibril Wilson),5.410,5.060
1,8:45,,,,0,3,Timeout #1 by San Diego Chargers,0.000,5.060
1,8:45,3,1,OAK 3,0,9,"LaDainian Tomlinson left tackle for 3 yards, touchdown",5.060,7.000
1,,,,OAK 2,0,10,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,10,"Nate Kaeding kicks off 62 yards, returned by Justin Miller for 21 yards (tackle by Kassim Osgood)",0.000,0.870
1,8:38,1,10,OAK 29,0,10,JaMarcus Russell pass complete short right to Johnnie Lee Higgins for 12 yards (tackle by Quentin Jammer),0.870,1.660
1,8:16,1,10,OAK 41,0,10,Justin Fargas left end for 3 yards (tackle by Shaun Phillips),1.660,1.530
1,7:39,2,7,OAK 44,0,10,Justin Fargas left end for 5 yards (tackle by Jamal Williams),1.530,1.490
1,7:00,3,2,OAK 49,0,10,JaMarcus Russell pass complete short right to Zach Miller for 1 yard (tackle by Steve Gregory). Penalty on Chaz Schilens: Offensive Pass Interference (Declined),1.490,-0.060
1,6:38,4,1,,0,10,Shane Lechler punts 46 yards,-0.060,0.380
1,6:27,1,10,SDG 4,0,10,"Penalty on Kris Dielman: False Start, 2 yards (no play)",-0.380,-0.460
1,6:27,1,12,SDG 2,0,10,"Penalty on Mike Goff: False Start, 1 yards (no play)",-0.460,-0.490
1,6:27,1,13,SDG 1,0,10,LaDainian Tomlinson up the middle for 3 yards (tackle by Derrick Burgess and Tommy Kelly),-0.490,-0.780
1,5:53,2,10,SDG 4,0,10,"LaDainian Tomlinson left tackle for 3 yards (tackle by Kirk Morrison). Penalty on Tommy Kelly: Unnecessary Roughness, 15 yards",-0.780,0.410
1,5:22,1,10,SDG 22,0,10,LaDainian Tomlinson up the middle for 4 yards (tackle by Jay Richardson and Kirk Morrison),0.410,0.410
1,4:46,2,6,SDG 26,0,10,Philip Rivers pass complete short left to Vincent Jackson for 17 yards (tackle by Chris Johnson),0.410,1.800
1,4:03,1,10,SDG 43,0,10,Darren Sproles right tackle for 11 yards (tackle by Thomas Howard),1.800,2.520
1,3:23,1,10,OAK 46,0,10,Philip Rivers for 11 yards (tackle by Hiram Eugene),2.520,3.250
1,2:52,1,10,OAK 35,0,10,LaDainian Tomlinson for 6 yards (tackle by Nnamdi Asomugha),3.250,3.510
1,2:20,2,4,OAK 29,0,10,Philip Rivers up the middle for 3 yards (tackle by Kalimba Edwards),3.510,3.200
1,1:40,3,1,OAK 26,0,10,Darren Sproles left tackle for no gain (tackle by Kalimba Edwards and Jon Alston),3.200,1.890
1,1:14,4,1,OAK 26,0,10,Philip Rivers up the middle for 2 yards (tackle by William Joseph),1.890,3.970
1,0:30,1,10,OAK 24,0,10,LaDainian Tomlinson left guard for 8 yards (tackle by Hiram Eugene),3.970,4.650
Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,OAK 16,0,10,Darren Sproles left tackle for 5 yards (tackle by Derrick Burgess),4.650,4.840
2,14:26,1,10,OAK 11,0,10,Darren Sproles left end for 3 yards (tackle by Rashad Baker and Terdell Sands),4.840,4.700
2,13:46,2,7,OAK 8,0,10,Darren Sproles up the middle for no gain (tackle by Rashad Baker and Derrick Burgess),4.700,3.760
2,13:04,3,7,OAK 8,0,16,"Philip Rivers pass complete short left to Darren Sproles for 8 yards, touchdown",3.760,7.000
2,,,,OAK 2,0,17,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,17,"Nate Kaeding kicks off 56 yards, returned by Justin Miller for 5 yards (tackle by Antoine Cason)",0.000,0.150
2,12:52,1,10,OAK 19,0,17,"Penalty on Igor Olshansky: Defensive Offside, 5 yards (no play)",0.150,0.940
2,12:52,1,5,OAK 24,0,17,JaMarcus Russell pass complete short middle to Zach Miller for 6 yards (tackle by Stephen Cooper),0.940,0.940
2,12:18,1,10,OAK 30,0,17,Justin Fargas right end for 8 yards (tackle by Eric Weddle),0.940,1.470
2,11:40,2,2,OAK 38,0,17,JaMarcus Russell pass complete deep right to Zach Miller for 21 yards (tackle by Steve Gregory),1.470,2.850
2,10:59,1,10,SDG 41,0,17,"Penalty on Kwame Harris: False Start, 5 yards (no play)",2.850,2.520
2,10:39,1,15,SDG 46,0,17,Justin Fargas right end for 3 yards (tackle by Jacques Cesaire and Igor Olshansky),2.520,2.040
2,10:00,2,12,SDG 43,0,17,JaMarcus Russell pass incomplete deep middle intended for Michael Bush is intercepted by Stephen Cooper at SDG-27 and returned for 10 yards (tackle by Darren McFadden),2.040,-1.400
2,9:51,1,10,SDG 37,0,17,LaDainian Tomlinson up the middle for 4 yards (tackle by Kirk Morrison and Jay Richardson),1.400,1.400
2,9:17,2,6,SDG 41,0,17,Philip Rivers pass incomplete short right intended for Vincent Jackson,1.400,0.700
2,9:11,3,6,SDG 41,0,23,"Philip Rivers pass complete deep right to Vincent Jackson for 59 yards, touchdown",0.700,7.000
2,,,,OAK 2,0,24,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,24,"Nate Kaeding kicks off 63 yards, returned by Justin Miller for 36 yards (tackle by Jacob Hester)",0.000,1.800
2,8:54,1,10,OAK 43,0,24,JaMarcus Russell pass complete short middle to Tony Stewart for 11 yards (tackle by Matt Wilhelm),1.800,2.520
2,8:20,1,10,SDG 46,0,24,JaMarcus Russell pass complete short left to Johnnie Lee Higgins for 10 yards (tackle by Antonio Cromartie). Penalty on Shaun Phillips: Defensive Offside (Declined),2.520,3.180
2,7:53,1,10,SDG 36,0,24,JaMarcus Russell pass incomplete deep right intended for Johnnie Lee Higgins,3.180,2.640
2,7:46,2,10,SDG 36,0,24,Justin Fargas up the middle for 7 yards (tackle by Jamal Williams and Ryon Bingham),2.640,2.870
2,7:10,3,3,SDG 29,0,24,JaMarcus Russell pass complete short middle to Zach Miller for 6 yards (tackle by Stephen Cooper),2.870,4.040
2,6:26,1,10,SDG 23,0,24,"Justin Fargas left end for 5 yards (tackle by Steve Gregory and Stephen Cooper). Penalty on Darren McFadden: Unnecessary Roughness, 15 yards",4.040,2.150
