Quarter,Time,Tm,Detail,SFO,DET
1.0,5:41,49ers,Trent Sherfield 5 yard pass from Trey Lance (Robbie Gould kick),7,0
2.0,13:29,Lions,T.J. Hockenson 6 yard pass from Jared Goff (Austin Seibert kick),7,7
,11:12,49ers,Elijah Mitchell 38 yard rush (Robbie Gould kick),14,7
,6:13,Lions,Austin Seibert 49 yard field goal,14,10
,2:25,49ers,Jamycal Hasty 3 yard rush (Robbie Gould kick),21,10
,1:10,49ers,Dre Greenlaw 39 yard interception return (Robbie Gould kick),28,10
,0:03,49ers,Robbie Gould 40 yard field goal,31,10
3.0,7:54,49ers,Deebo Samuel 79 yard pass from Jimmy Garoppolo (Robbie Gould kick),38,10
,4:23,Lions,D'Andre Swift 43 yard pass from Jared Goff (Austin Seibert kick),38,17
4.0,9:53,49ers,Robbie Gould 52 yard field goal,41,17
,1:53,Lions,Jamaal Williams 1 yard rush (T.J. Hockenson pass from Jared Goff),41,25
,1:07,Lions,Quintez Cephus 2 yard pass from Jared Goff (Quintez Cephus pass from Jared Goff),41,33
