Unnamed: 0,CIN,HOU
First Downs,24,18
Rush-Yds-TDs,43-139-1,19-64-0
Cmp-Att-Yd-TD-INT,24-35-233-1-1,21-45-189-0-1
Sacked-Yards,0-0,1-5
Net Pass Yards,233,184
Total Yards,372,248
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,6-60,3-15
Third Down Conv.,11-20,4-14
Fourth Down Conv.,0-1,2-3
Time of Possession,39:10,20:50
