Unnamed: 0,TEN,JAX
First Downs,14,18
Rush-Yds-TDs,27-103-1,32-151-1
Cmp-Att-Yd-TD-INT,18-30-209-1-2,13-27-129-0-1
Sacked-Yards,3-17,2-6
Net Pass Yards,192,123
Total Yards,295,274
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,4-49,3-22
Third Down Conv.,4-13,3-13
Fourth Down Conv.,1-1,1-1
Time of Possession,28:28,31:32
