Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Craig Hentrich kicks off 60 yards, returned by Troy Edwards for 22 yards (tackle by Eddie Berlin)",0.000,1.070
1,14:55,1,10,JAX 32,0,0,Fred Taylor left tackle for 1 yard (tackle by Keith Bulluck),1.070,0.660
1,14:21,2,9,JAX 33,0,0,David Garrard pass incomplete intended for Todd Yoder,0.660,-0.030
1,14:17,3,9,JAX 33,0,0,David Garrard pass incomplete intended for Troy Edwards,-0.030,-1.180
1,14:10,4,9,JAX 33,0,0,"Chris Hanson punts 39 yards, returned by Michael Waddell for 8 yards (tackle by Deke Cooper). Penalty on Troy Fleming: Offensive Holding, 10 yards",-1.180,-0.670
1,14:00,1,10,TEN 26,0,0,Steve McNair pass complete to Derrick Mason for 5 yards (tackle by Rashean Mathis),0.670,0.810
1,13:22,2,5,TEN 31,0,0,Antowain Smith middle for 4 yards (tackle by Akin Ayodele and Donovin Darius),0.810,0.630
1,12:37,3,1,TEN 35,0,0,Steve McNair pass complete to Troy Fleming for 4 yards (tackle by Mike Peterson),0.630,1.530
1,11:58,1,10,TEN 39,0,0,Antowain Smith right tackle for 7 yards (tackle by Donovin Darius and Tommy Hendricks),1.530,1.930
1,11:19,2,3,TEN 46,0,0,Steve McNair pass incomplete intended for Derrick Mason is intercepted by Donovin Darius at JAX-38 and returned for 7 yards,1.930,-1.930
1,11:10,1,10,JAX 45,0,0,Fred Taylor middle for no gain (tackle by Carlos Hall),1.930,1.380
1,10:33,2,10,JAX 45,0,0,Fred Taylor left tackle for 2 yards (tackle by Carlos Hall),1.380,0.960
1,9:52,3,8,JAX 47,0,0,David Garrard pass complete to Cortez Hankton for 5 yards (tackle by Andre Woolfolk),0.960,0.070
