Unnamed: 0,CHI,BUF
First Downs,11,22
Rush-Yds-TDs,25-64-2,28-98-1
Cmp-Att-Yd-TD-INT,12-20-135-1-1,31-49-188-0-3
Sacked-Yards,1-9,4-22
Net Pass Yards,126,166
Total Yards,190,264
Fumbles-Lost,2-0,1-1
Turnovers,1,4
Penalties-Yards,14-129,10-163
Third Down Conv.,3-11,6-18
Fourth Down Conv.,0-0,1-3
Time of Possession,25:57,34:03
