Quarter,Time,Tm,Detail,CHI,BUF
2.0,13:04,Bears,Jordan Howard 1 yard rush (Cody Parkey kick),7,0
,7:07,Bears,Eddie Jackson 65 yard fumble return (Cody Parkey kick),14,0
,3:32,Bears,Leonard Floyd 19 yard interception return (Cody Parkey kick),21,0
,0:44,Bears,Jordan Howard 18 yard rush (Cody Parkey kick),28,0
3.0,11:01,Bills,Stephen Hauschka 41 yard field goal,28,3
,8:13,Bears,Cody Parkey 23 yard field goal,31,3
4.0,13:33,Bears,Cody Parkey 45 yard field goal,34,3
,5:41,Bills,Nathan Peterman 1 yard rush (pass failed),34,9
,4:36,Bears,Trey Burton 2 yard pass from Mitchell Trubisky (Cody Parkey kick),41,9
