Unnamed: 0,SFO,NOR
First Downs,25,28
Rush-Yds-TDs,24-162-1,27-116-1
Cmp-Att-Yd-TD-INT,27-36-384-5-1,29-41-349-5-0
Sacked-Yards,3-30,0-0
Net Pass Yards,354,349
Total Yards,516,465
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,10-67,5-50
Third Down Conv.,6-12,5-11
Fourth Down Conv.,1-1,2-3
Time of Possession,28:37,31:23
