Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 69 yards, returned by Deonte Harris for 31 yards (tackle by Emmanuel Moseley)",0.000,0.740
1,14:53,1,10,NOR 27,0,0,Alvin Kamara right guard for 1 yard (tackle by D.J. Jones and Marcell Harris),0.740,0.330
1,14:20,2,9,NOR 28,0,0,Drew Brees pass complete short left to Alvin Kamara for 9 yards (tackle by Ahkello Witherspoon),0.330,1.400
1,13:51,1,10,NOR 37,0,0,Drew Brees pass incomplete deep right intended for Josh Hill (defended by Richard Sherman),1.400,0.860
1,13:45,2,10,NOR 37,0,0,Latavius Murray right end for 8 yards (tackle by Richard Sherman),0.860,1.220
1,13:04,3,2,NOR 45,0,0,Drew Brees pass complete short right to Michael Thomas for 5 yards (tackle by Emmanuel Moseley),1.220,2.260
1,12:30,1,10,NOR 50,0,0,Drew Brees pass complete short right to Taysom Hill for 12 yards (tackle by Emmanuel Moseley),2.260,3.050
1,11:52,1,10,SFO 38,0,0,Drew Brees pass incomplete short left intended for Latavius Murray,3.050,2.510
1,11:47,2,10,SFO 38,0,0,Drew Brees pass incomplete short right intended for Alvin Kamara (defended by Dre Greenlaw),2.510,1.820
1,11:42,3,10,SFO 38,0,6,"Drew Brees pass complete deep right to Jared Cook for 38 yards, touchdown",1.820,7.000
1,11:34,,,SFO 15,0,7,Wil Lutz kicks extra point good,0.000,0.000
1,11:34,,,NOR 35,0,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,11:34,1,10,SFO 25,0,7,Jimmy Garoppolo pass complete deep right to Emmanuel Sanders for 19 yards (tackle by Eli Apple),0.610,1.860
1,10:54,1,10,SFO 44,0,7,"Penalty on Mike McGlinchey: False Start, 5 yards (no play)",1.860,1.530
1,10:32,1,15,SFO 39,0,7,Jimmy Garoppolo pass complete short right to Emmanuel Sanders for 31 yards (tackle by Vonn Bell),1.530,3.580
1,9:54,1,10,NOR 30,0,7,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 25 yards (tackle by Vonn Bell),3.580,6.060
1,9:14,1,5,NOR 5,0,7,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,6.060,5.150
1,9:12,2,5,NOR 5,0,7,Richie James left tackle for -1 yards (tackle by Craig Robertson),5.150,4.040
1,8:31,3,6,NOR 6,6,7,"Jimmy Garoppolo pass complete short left to Kendrick Bourne for 6 yards, touchdown",4.040,7.000
1,8:26,,,NOR 15,7,7,Robbie Gould kicks extra point good,0.000,0.000
1,8:26,,,SFO 35,7,7,"Mitch Wishnowsky kicks off 70 yards, returned by Deonte Harris for 51 yards (tackle by Jimmie Ward)",0.000,1.990
1,8:18,1,10,NOR 46,7,7,Alvin Kamara left end for -7 yards (tackle by K'Waun Williams),1.990,0.510
1,7:41,2,17,NOR 39,7,7,Drew Brees pass complete short left to Alvin Kamara for 8 yards (tackle by Dre Greenlaw and Ahkello Witherspoon),0.510,0.890
1,6:59,3,9,NOR 47,7,7,Drew Brees pass complete short middle to Ted Ginn for 12 yards (tackle by Richard Sherman),0.890,2.850
1,6:13,1,10,SFO 41,7,7,Taysom Hill right end for 7 yards (tackle by DeForest Buckner and Fred Warner),2.850,3.250
1,5:35,2,3,SFO 34,7,7,Latavius Murray right tackle for 8 yards (tackle by Arik Armstead),3.250,3.840
1,4:58,1,10,SFO 26,7,13,"Drew Brees pass complete deep left to Jared Cook for 26 yards, touchdown. Penalty on Ahkello Witherspoon: Unnecessary Roughness, 1 yard",3.840,7.000
1,4:51,,,SFO 1,7,13,"Two Point Attempt: Taysom Hill rushes, conversion fails.",1.000,-1.000
1,4:51,,,NOR 35,7,13,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,4:51,1,10,SFO 25,7,13,Raheem Mostert left guard for 1 yard (tackle by Malcom Brown),0.610,0.200
1,4:15,2,9,SFO 26,7,13,"Penalty on Joe Staley: False Start, 5 yards (no play)",0.200,-0.480
1,4:00,2,14,SFO 21,7,13,Jimmy Garoppolo pass complete short middle to George Kittle for 2 yards (tackle by Cameron Jordan),-0.480,-0.890
1,3:22,3,12,SFO 23,7,13,Jimmy Garoppolo sacked by Demario Davis for -9 yards,-0.890,-2.470
1,2:40,4,21,SFO 14,7,13,"Mitch Wishnowsky punts 40 yards, returned by Deonte Harris for 25 yards (tackle by Emmanuel Moseley)",-2.470,-3.640
1,2:28,1,10,SFO 29,7,13,Alvin Kamara left guard for 2 yards (tackle by Arik Armstead),3.640,3.370
