Quarter,Time,Tm,Detail,SFO,NOR
1.0,11:34,Saints,Jared Cook 38 yard pass from Drew Brees (Wil Lutz kick),0,7
,8:26,49ers,Kendrick Bourne 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,7
,4:51,Saints,Jared Cook 26 yard pass from Drew Brees (run failed),7,13
2.0,14:57,Saints,Josh Hill 3 yard pass from Drew Brees (Wil Lutz kick),7,20
,14:43,49ers,Emmanuel Sanders 75 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,20
,7:29,Saints,Drew Brees 1 yard rush (Wil Lutz kick),14,27
,5:59,49ers,Raheem Mostert 35 yard pass from Emmanuel Sanders (Robbie Gould kick),21,27
,0:42,49ers,Raheem Mostert 10 yard rush (Robbie Gould kick),28,27
3.0,12:36,Saints,Wil Lutz 55 yard field goal,28,30
,9:40,49ers,George Kittle 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),35,30
,4:51,Saints,Wil Lutz 48 yard field goal,35,33
4.0,8:59,49ers,Kendrick Bourne 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),42,33
,6:06,Saints,Michael Thomas 21 yard pass from Drew Brees (Wil Lutz kick),42,40
,2:23,49ers,Robbie Gould 41 yard field goal,45,40
,0:53,Saints,Tre'Quan Smith 18 yard pass from Drew Brees (pass failed),45,46
,0:00,49ers,Robbie Gould 30 yard field goal,48,46
