Quarter,Time,Tm,Detail,CHI,DET
1.0,5:54,Lions,Jason Hanson 44 yard field goal,0,3
,4:33,Bears,Earl Bennett 60 yard pass from Jay Cutler (Olindo Mare kick),7,3
,2:59,Bears,Olindo Mare 33 yard field goal,10,3
2.0,3:26,Bears,Matt Forte 1 yard rush (Olindo Mare kick),17,3
,1:49,Bears,Olindo Mare 40 yard field goal,20,3
,0:12,Lions,Kris Durham 25 yard pass from Matthew Stafford (Jason Hanson kick),20,10
3.0,6:31,Lions,Will Heller 10 yard pass from Matthew Stafford (Jason Hanson kick),20,17
,1:49,Bears,Olindo Mare 28 yard field goal,23,17
4.0,10:47,Bears,Olindo Mare 20 yard field goal,26,17
,6:55,Lions,Brian Robiskie 9 yard pass from Matthew Stafford (Jason Hanson kick),26,24
