Unnamed: 0,IND,CHI
First Downs,24,11
Rush-Yds-TDs,42-191-1,19-111-0
Cmp-Att-Yd-TD-INT,25-38-247-1-1,20-28-165-1-2
Sacked-Yards,1-8,1-11
Net Pass Yards,239,154
Total Yards,430,265
Fumbles-Lost,2-2,4-3
Turnovers,3,5
Penalties-Yards,6-40,4-35
Third Down Conv.,8-18,3-10
Fourth Down Conv.,0-1,0-1
Time of Possession,38:04,21:56
