Unnamed: 0,NYG,MIN
First Downs,11,28
Rush-Yds-TDs,12-35-1,32-129-1
Cmp-Att-Yd-TD-INT,20-28-167-0-1,29-37-358-4-0
Sacked-Yards,3-21,0-0
Net Pass Yards,146,358
Total Yards,181,487
Fumbles-Lost,2-1,4-0
Turnovers,2,0
Penalties-Yards,13-95,8-45
Third Down Conv.,1-8,4-12
Fourth Down Conv.,0-0,2-2
Time of Possession,23:08,36:52
