Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Lawrence Tynes kicks off 41 yards, returned by Jeff Dugan for 11 yards (tackle by Bruce Johnson)",0.000,1.600
1,14:55,1,10,MIN 40,0,0,"Penalty on Mathias Kiwanuka: Neutral Zone Infraction, 5 yards (no play)",1.600,2.330
1,14:55,1,5,MIN 45,0,0,Brett Favre pass incomplete deep right intended for Percy Harvin,2.330,1.730
1,14:50,2,5,MIN 45,0,0,Brett Favre pass complete short middle to Visanthe Shiancoe for 13 yards (tackle by Michael Boley),1.730,2.790
1,14:19,1,10,NYG 42,0,0,Chester Taylor right guard for 10 yards (tackle by Terrell Thomas),2.790,3.450
1,13:46,1,10,NYG 32,0,0,Percy Harvin left end for 22 yards (tackle by Aaron Rouse),3.450,4.910
1,13:03,1,10,NYG 10,0,6,"Brett Favre pass complete short left to Visanthe Shiancoe for 10 yards, touchdown",4.910,7.000
1,,,,NYG 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,0,7,"Ryan Longwell kicks off 68 yards, returned by Domenik Hixon for 23 yards (tackle by Husain Abdullah)",0.000,0.610
1,12:52,1,10,NYG 25,0,7,Eli Manning pass complete short right to Steve Smith for 3 yards (tackle by Chad Greenway),0.610,0.470
1,12:18,2,7,NYG 28,0,7,Eli Manning pass complete short left to Steve Smith for 8 yards (tackle by Benny Sapp),0.470,1.330
1,11:48,1,10,NYG 36,0,7,"Penalty on David Diehl: False Start, 5 yards (no play)",1.330,1.000
1,11:31,1,15,NYG 31,0,7,Ahmad Bradshaw left end for 4 yards (tackle by Tyrell Johnson),1.000,0.660
1,10:53,2,11,NYG 35,0,7,Ahmad Bradshaw left tackle for 3 yards (tackle by Chad Greenway and Ray Edwards),0.660,0.370
1,10:07,,,,0,7,Timeout #1 by New York Giants,0.000,0.370
1,10:07,3,8,NYG 38,0,7,Eli Manning pass incomplete short left intended for Steve Smith (defended by Cedric Griffin),0.370,-0.850
1,10:02,4,8,NYG 38,0,7,Jeff Feagles punts 42 yards,-0.850,-0.280
1,9:55,1,10,MIN 20,0,7,Brett Favre pass complete deep left to Bernard Berrian for 40 yards (tackle by Kevin Dockery),0.280,2.920
1,9:51,1,10,NYG 40,0,7,Chester Taylor right guard for 3 yards (tackle by Osi Umenyiora and Rocky Bernard),2.920,2.780
1,9:03,2,7,NYG 37,0,7,Brett Favre pass complete short right to Percy Harvin for 1 yard (tackle by Terrell Thomas),2.780,2.210
1,8:17,3,6,NYG 36,0,7,Brett Favre pass incomplete short middle intended for Chester Taylor (defended by Michael Boley),2.210,0.880
1,8:13,4,6,NYG 36,0,7,"Chris Kluwe punts 26 yards. Penalty on Kevin Dockery: Offensive Holding, 5 yards",0.880,0.380
1,8:04,1,10,NYG 5,0,7,Eli Manning pass complete short middle to Steve Smith for 7 yards (tackle by Jasper Brinkley),-0.380,-0.270
1,7:29,2,3,NYG 12,0,7,Ahmad Bradshaw left guard for 8 yards (tackle by Madieu Williams and Tyrell Johnson),-0.270,0.280
1,6:50,1,10,NYG 20,0,7,Eli Manning pass incomplete short left intended for Ahmad Bradshaw,0.280,-0.270
1,6:45,2,10,NYG 20,0,7,Eli Manning pass complete short left to Travis Beckum for 10 yards (tackle by Jared Allen),-0.270,0.940
1,6:15,1,10,NYG 30,0,7,Ahmad Bradshaw left guard for no gain (tackle by Ben Leber and Jasper Brinkley),0.940,0.390
1,5:33,2,10,NYG 30,0,7,Ahmad Bradshaw left guard for no gain (tackle by Jasper Brinkley),0.390,-0.300
1,4:50,3,10,NYG 30,0,7,Eli Manning pass incomplete short middle intended for Steve Smith (defended by Kevin Williams),-0.300,-1.370
1,4:46,4,10,NYG 30,0,7,Jeff Feagles punts 37 yards,-1.370,-1.140
1,4:38,1,10,MIN 33,0,7,Brett Favre pass complete short left to Visanthe Shiancoe for 12 yards (tackle by Bruce Johnson),1.140,1.930
1,3:53,1,10,MIN 45,0,7,Adrian Peterson middle for -5 yards (tackle by Danny Clark),1.930,0.710
1,3:11,2,15,MIN 40,0,7,Brett Favre pass complete short right to Visanthe Shiancoe for 5 yards (tackle by Michael Boley),0.710,0.700
1,2:30,3,10,MIN 45,0,7,Brett Favre pass complete short left to Bernard Berrian for 10 yards (tackle by Kevin Dockery),0.700,2.590
1,1:46,1,10,NYG 45,0,7,Adrian Peterson right guard for 23 yards (tackle by Bruce Johnson),2.590,4.110
1,1:03,1,10,NYG 22,0,7,Chester Taylor left guard for -1 yards (tackle by Michael Boley),4.110,3.430
1,0:23,2,11,NYG 23,0,7,Brett Favre pass complete short right to Sidney Rice for 10 yards (tackle by Justin Tuck),3.430,4.390
Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NYG 13,0,7,Adrian Peterson right guard for no gain (tackle by Barry Cofield and Mathias Kiwanuka),4.390,2.720
2,14:49,,,,0,7,Timeout #1 by Minnesota Vikings,0.000,2.720
2,14:49,4,1,NYG 13,0,7,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",2.720,2.270
2,14:49,4,6,NYG 18,0,10,Ryan Longwell 36 yard field goal good,2.270,3.000
2,,,,MIN 30,0,10,"Ryan Longwell kicks off 58 yards, returned by Domenik Hixon for 23 yards (tackle by Jamarca Sanford)",0.000,1.270
