Unnamed: 0,OAK,DEN
First Downs,21,20
Rush-Yds-TDs,27-92-1,28-168-2
Cmp-Att-Yd-TD-INT,29-32-288-1-0,19-35-222-0-1
Sacked-Yards,1-7,1-5
Net Pass Yards,281,217
Total Yards,373,385
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-30,6-35
Third Down Conv.,3-10,8-16
Fourth Down Conv.,0-1,1-1
Time of Possession,32:56,27:04
