Quarter,Time,Tm,Detail,DET,GNB
1.0,11:22,Packers,Davante Adams 14 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,2:45,Lions,Matt Prater 42 yard field goal,3,7
,1:01,Packers,Jordy Nelson 8 yard pass from Aaron Rodgers (Mason Crosby kick),3,14
2.0,14:46,Packers,Richard Rodgers 2 yard pass from Aaron Rodgers (Mason Crosby kick),3,21
,10:41,Packers,Mason Crosby 36 yard field goal,3,24
,1:10,Packers,Jordy Nelson 17 yard pass from Aaron Rodgers (Mason Crosby kick),3,31
,0:32,Lions,Marvin Jones 73 yard pass from Matthew Stafford (Matt Prater kick),10,31
3.0,8:23,Lions,Anquan Boldin 2 yard pass from Matthew Stafford (Matt Prater kick),17,31
,3:14,Packers,Mason Crosby 46 yard field goal,17,34
4.0,12:32,Lions,Matt Prater 50 yard field goal,20,34
,3:34,Lions,Marvin Jones 35 yard pass from Matthew Stafford (Matt Prater kick),27,34
