Unnamed: 0,DET,GNB
First Downs,22,17
Rush-Yds-TDs,23-50-0,24-123-0
Cmp-Att-Yd-TD-INT,28-41-385-3-1,15-24-205-4-0
Sacked-Yards,3-17,2-4
Net Pass Yards,368,201
Total Yards,418,324
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,4-86,4-45
Third Down Conv.,8-14,5-10
Fourth Down Conv.,1-1,0-0
Time of Possession,35:07,24:53
