Unnamed: 0,MIA,BAL
First Downs,17,23
Rush-Yds-TDs,17-73-1,39-146-0
Cmp-Att-Yd-TD-INT,22-34-231-0-3,21-28-279-2-0
Sacked-Yards,2-15,4-23
Net Pass Yards,216,256
Total Yards,289,402
Fumbles-Lost,3-0,1-0
Turnovers,3,0
Penalties-Yards,4-23,5-40
Third Down Conv.,6-12,6-13
Fourth Down Conv.,0-0,1-2
Time of Possession,21:38,38:22
