Unnamed: 0,NOR,DET
First Downs,25,21
Rush-Yds-TDs,21-73-0,24-59-1
Cmp-Att-Yd-TD-INT,28-45-342-2-1,27-40-299-2-2
Sacked-Yards,1-7,3-14
Net Pass Yards,335,285
Total Yards,408,344
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,12-134,9-71
Third Down Conv.,3-12,7-15
Fourth Down Conv.,1-2,0-0
Time of Possession,27:42,32:18
