Quarter,Time,Tm,Detail,NOR,DET
2.0,13:56,Saints,Austin Johnson 13 yard pass from Drew Brees (Shayne Graham kick),7,0
,5:29,Lions,Matt Prater 21 yard field goal,7,3
,0:00,Saints,Shayne Graham 27 yard field goal,10,3
3.0,13:42,Saints,Kenny Stills 46 yard pass from Drew Brees (Shayne Graham kick),17,3
,6:19,Lions,Joique Bell 1 yard rush (Matt Prater kick),17,10
4.0,13:33,Saints,Shayne Graham 48 yard field goal,20,10
,5:24,Saints,Shayne Graham 36 yard field goal,23,10
,3:38,Lions,Golden Tate 73 yard pass from Matthew Stafford (Matt Prater kick),23,17
,1:48,Lions,Corey Fuller 5 yard pass from Matthew Stafford (Matt Prater kick),23,24
