Quarter,Time,Down,ToGo,Location,CLE,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 53 yards, returned by Gerard Lawson for 9 yards (tackle by Vinny Ciurciu)",0.000,0.670
1,14:55,1,10,CLE 26,0,0,Jamal Lewis middle for 6 yards (tackle by Larry Foote),0.670,0.940
1,14:23,2,4,CLE 32,0,0,Brady Quinn pass complete deep left to Mohamed Massaquoi for 24 yards (tackle by Phillip Buchanon),0.940,2.650
1,13:55,1,10,DET 44,0,0,Jamal Lewis middle for 3 yards (tackle by Anthony Henry and Sammie Lee Hill),2.650,2.520
1,13:27,2,7,DET 41,0,0,Jamal Lewis middle for 2 yards (tackle by Larry Foote and Kevin Hobbs),2.520,2.080
1,12:53,3,5,DET 39,0,0,Brady Quinn pass complete short right to Chansi Stuckey for 6 yards (tackle by Anthony Henry),2.080,3.380
1,12:29,1,10,DET 33,0,0,Jamal Lewis right tackle for 2 yards (tackle by Julian Peterson),3.380,3.110
1,11:47,2,8,DET 31,0,0,Brady Quinn pass incomplete short right intended for Mohamed Massaquoi,3.110,2.410
1,11:42,3,8,DET 31,0,0,"Penalty on Brady Quinn: Delay of Game, 5 yards (no play)",2.410,1.750
1,11:42,3,13,DET 36,0,0,Brady Quinn pass complete short left to Mohamed Massaquoi for 10 yards (tackle by Phillip Buchanon),1.750,1.840
1,11:34,4,3,DET 26,3,0,Phil Dawson 44 yard field goal good,1.840,3.000
1,,,,CLE 30,3,0,"Phil Dawson kicks off 70 yards, returned by Aaron Brown for 20 yards (tackle by Josh Cribbs)",0.000,0.280
1,11:21,1,10,DET 20,3,0,Matthew Stafford pass complete short left to Kevin Smith for 63 yards (tackle by Brodney Pool),0.280,4.440
1,10:38,1,10,CLE 17,3,0,Maurice Morris right tackle for 4 yards (tackle by Kenyon Coleman),4.440,4.500
1,10:01,2,6,CLE 13,3,0,Maurice Morris right end for 1 yard (tackle by Kamerion Wimbley),4.500,3.880
1,9:22,3,5,CLE 12,3,0,Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by Brodney Pool),3.880,2.680
1,9:17,4,5,CLE 12,3,3,Jason Hanson 31 yard field goal good,2.680,3.000
1,,,,DET 30,3,3,"Jason Hanson kicks off 46 yards, muffed catch by Gerard Lawson, recovered by Gerard Lawson at CLV-28, and returned for 13 yards",0.000,1.660
1,9:05,1,10,CLE 41,9,3,"Brady Quinn pass complete deep left to Mohamed Massaquoi for 59 yards, touchdown",1.660,7.000
1,,,,DET 2,10,3,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,10,3,"Phil Dawson kicks off 63 yards, returned by Aaron Brown for 18 yards (tackle by Blake Costanzo)",0.000,0.610
1,8:51,1,10,DET 25,10,3,Kevin Smith right end for 2 yards (tackle by David Bowens),0.610,0.330
1,8:13,2,8,DET 27,10,3,Kevin Smith right tackle for 4 yards (tackle by Jason Trusnik),0.330,0.170
1,7:47,3,4,DET 31,10,3,Matthew Stafford pass incomplete short left intended for Dennis Northcutt (defended by Brandon McDonald),0.170,-1.310
1,7:43,4,4,DET 31,10,3,Nick Harris punts 41 yards,-1.310,-0.810
1,7:36,1,10,CLE 28,10,3,Jamal Lewis middle for 4 yards (tackle by Sammie Lee Hill),0.810,0.800
1,7:02,2,6,CLE 32,10,3,Brady Quinn pass complete short left to Chris Jennings for -5 yards (tackle by Larry Foote),0.800,-0.560
1,6:24,3,11,CLE 27,10,3,Brady Quinn pass complete short left to Jamal Lewis for 13 yards (tackle by Phillip Buchanon),-0.560,1.600
1,5:39,1,10,CLE 40,10,3,Chris Jennings left end for 16 yards (tackle by Ko Simpson),1.600,2.650
1,5:20,1,10,DET 44,10,3,Josh Cribbs right tackle for 6 yards (tackle by DeAndre Levy and Louis Delmas),2.650,2.920
1,4:49,2,4,DET 38,10,3,Chris Jennings left end for -2 yards (tackle by Cliff Avril),2.920,1.950
,,,,,,,"DET challenged the runner was down by contact ruling, and the original play was overturned.",,
1,4:10,3,6,DET 40,16,3,"Brady Quinn pass complete deep right to Chansi Stuckey for 40 yards, touchdown",1.950,7.000
1,,,,DET 2,17,3,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,17,3,"Phil Dawson kicks off 48 yards, returned by Zack Follett for 10 yards (tackle by Mike Adams)",0.000,1.070
1,3:58,1,10,DET 32,17,3,"Matthew Stafford pass incomplete deep left intended for Bryant Johnson is intercepted by Eric Wright at CLE-40 and returned for 47 yards. Penalty on Jeff Backus: Unnecessary Roughness, 7 yards",1.070,-5.830
1,3:39,1,6,DET 6,17,3,Jamal Lewis right tackle for 2 yards (tackle by Sammie Lee Hill),5.830,5.340
1,2:57,2,4,DET 4,23,3,"Brady Quinn pass complete short left to Josh Cribbs for 4 yards, touchdown",5.340,7.000
1,,,,DET 2,24,3,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,24,3,"Phil Dawson kicks off 72 yards, returned by Aaron Brown for 34 yards (tackle by Brodney Pool). Penalty on Brandon Pettigrew: Offensive Holding, 10 yards",0.000,0.410
1,2:41,1,10,DET 22,24,3,Matthew Stafford pass complete short middle to Brandon Pettigrew for 30 yards (tackle by Brodney Pool),0.410,2.390
1,2:02,1,10,CLE 48,24,3,Kevin Smith right tackle for 11 yards (tackle by Mike Adams),2.390,3.120
1,1:25,1,10,CLE 37,24,3,Matthew Stafford pass complete short left to Brandon Pettigrew for 11 yards (tackle by Kamerion Wimbley),3.120,3.840
1,0:44,1,10,CLE 26,24,3,Matthew Stafford pass incomplete deep right intended for Calvin Johnson,3.840,3.300
1,0:37,2,10,CLE 26,24,9,"Matthew Stafford pass complete short left to Aaron Brown for 26 yards, touchdown",3.300,7.000
1,,,,CLE 2,24,10,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,24,10,"Jason Hanson kicks off 53 yards, muffed catch by Gerard Lawson, ball out of bounds at CLE-22",0.000,0.410
1,0:29,1,10,CLE 22,24,10,Chris Jennings right tackle for 2 yards (tackle by Larry Foote and Sammie Lee Hill),0.410,0.140
Quarter,Time,Down,ToGo,Location,CLE,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,CLE 24,24,10,Chris Jennings middle for 2 yards (tackle by Louis Delmas),0.140,-0.290
2,14:25,3,6,CLE 26,24,10,Brady Quinn pass incomplete short middle intended for Greg Estandia,-0.290,-1.630
2,14:20,4,6,CLE 26,24,10,"Reggie Hodges punts 41 yards, returned by Dennis Northcutt for 6 yards (tackle by Blake Costanzo)",-1.630,-1.530
2,14:11,1,10,DET 39,24,10,Matthew Stafford pass incomplete short left intended for Calvin Johnson (defended by Brandon McDonald),1.530,0.990
2,14:03,2,10,DET 39,24,10,Matthew Stafford pass complete short middle to Kevin Smith for 12 yards (tackle by David Bowens),0.990,2.320
2,13:32,1,10,CLE 49,24,10,Matthew Stafford pass complete short right to Calvin Johnson for 7 yards (tackle by Eric Wright and Jason Trusnik),2.320,2.730
2,12:56,2,3,CLE 42,24,10,Matthew Stafford pass incomplete deep middle intended for Brandon Pettigrew,2.730,2.020
2,12:49,3,3,CLE 42,24,10,Matthew Stafford pass complete short right to Calvin Johnson for 14 yards (tackle by Abram Elam),2.020,3.710
2,12:27,1,10,CLE 28,24,10,Kevin Smith left end for 3 yards (tackle by Ahtyba Rubin and David Bowens),3.710,3.570
2,11:52,2,7,CLE 25,24,16,"Matthew Stafford pass complete deep middle to Kevin Smith for 25 yards, touchdown",3.570,7.000
2,,,,CLE 2,24,17,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,24,17,"Jason Hanson kicks off 57 yards, returned by Josh Cribbs for 23 yards (tackle by Casey Fitzsimmons)",0.000,1.330
2,11:28,1,10,CLE 36,24,17,Jamal Lewis right tackle for 6 yards (tackle by Ko Simpson),1.330,1.600
2,11:05,2,4,CLE 42,24,17,Jamal Lewis right tackle for 3 yards (tackle by Jason Hunter),1.600,1.290
2,10:37,3,1,CLE 45,24,17,Brady Quinn middle for 2 yards (tackle by Jason Hunter),1.290,2.060
2,9:48,1,10,CLE 47,24,17,Brady Quinn pass complete short left to Mohamed Massaquoi for 12 yards,2.060,2.850
2,9:22,1,10,DET 41,24,17,Jamal Lewis left tackle for 2 yards (tackle by Larry Foote),2.850,2.580
2,8:45,2,8,DET 39,24,17,Jamal Lewis middle for 2 yards (tackle by Larry Foote and Grady Jackson),2.580,2.150
2,8:02,3,6,DET 37,24,17,Brady Quinn pass incomplete short right intended for Greg Estandia,2.150,0.790
2,7:54,4,6,DET 37,24,17,Reggie Hodges punts 31 yards,0.790,0.380
2,7:46,1,10,DET 6,24,17,Kevin Smith right end for 2 yards (tackle by Jason Trusnik),-0.380,-0.630
2,7:09,2,8,DET 8,24,17,Matthew Stafford pass complete short right to Jerome Felton for 7 yards (tackle by Jason Trusnik),-0.630,-0.370
2,6:36,3,1,DET 15,24,17,"Kevin Smith right end for -1 yards (tackle by Shaun Rogers). Penalty on Shaun Rogers: Defensive Offside, 5 yards (no play)",-0.370,0.280
2,6:10,1,10,DET 20,24,17,"Penalty on Shaun Rogers: Defensive Offside, 5 yards (no play)",0.280,1.010
2,5:51,1,5,DET 25,24,17,Kevin Smith left end for no gain (tackle by Eric Wright),1.010,0.410
2,5:12,2,5,DET 25,24,23,"Matthew Stafford pass complete deep middle to Calvin Johnson for 75 yards, touchdown",0.410,7.000
2,,,,CLE 2,24,24,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,24,24,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
2,5:01,1,10,CLE 20,24,24,Brady Quinn pass complete short right to Chris Jennings for 19 yards (tackle by DeAndre Levy),0.280,1.530
2,4:34,1,10,CLE 39,24,24,Chris Jennings left end for 5 yards (tackle by Louis Delmas),1.530,1.660
2,4:09,2,5,CLE 44,24,24,Chris Jennings middle for 3 yards (tackle by Turk McBride),1.660,1.360
2,3:36,3,2,CLE 47,24,24,Josh Cribbs left end for 8 yards (tackle by Phillip Buchanon),1.360,2.590
2,3:15,1,10,DET 45,24,24,Brady Quinn pass complete short middle to Chris Jennings for 10 yards (tackle by Jason Hunter),2.590,3.250
2,2:30,1,10,DET 35,24,24,Chris Jennings middle for no gain (tackle by Jordon Dizon),3.250,2.700
2,2:00,2,10,DET 35,24,24,Brady Quinn sacked by Larry Foote for -6 yards,2.700,1.220
2,1:08,3,16,DET 41,24,24,Jamal Lewis middle for 12 yards (tackle by DeAndre Levy),1.220,1.560
2,1:02,,,,24,24,Timeout #1 by Detroit Lions,0.000,0.000
2,1:02,,,,24,24,Timeout #1 by Cleveland Browns,0.000,1.560
2,1:02,4,4,DET 29,24,24,Brady Quinn pass complete short right to Chansi Stuckey for 7 yards (tackle by Will Peterson),1.560,4.110
2,0:58,1,10,DET 22,24,24,Jamal Lewis left tackle for 1 yard (tackle by Joe Cohen),4.110,3.700
2,0:25,2,9,DET 21,24,24,Brady Quinn pass incomplete short middle intended for Mohamed Massaquoi (defended by Larry Foote),3.700,3.010
2,0:19,3,9,DET 21,24,24,Brady Quinn pass incomplete deep right intended for Chris Jennings,3.010,2.060
2,0:13,4,9,DET 21,24,24,Phil Dawson pass complete short right to Mike Furrey for 10 yards (tackle by Louis Delmas),2.060,4.840
2,0:06,,,,24,24,Timeout #2 by Detroit Lions,0.000,4.840
2,0:06,1,10,DET 11,27,24,Phil Dawson 29 yard field goal good,4.840,3.000
2,,,,CLE 30,27,24,"Phil Dawson kicks off 38 yards, returned by Zack Follett for 2 yards (tackle by Raymond Ventrone)",0.000,0.940
Quarter,Time,Down,ToGo,Location,CLE,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,27,24,"Phil Dawson kicks off 72 yards, returned by Aaron Brown for 46 yards (tackle by Blake Costanzo)",0.000,1.860
3,14:53,1,10,DET 44,27,24,Kevin Smith middle for 4 yards (tackle by Robaire Smith),1.860,1.860
3,14:16,2,6,DET 48,27,24,Matthew Stafford pass incomplete short middle intended for Bryant Johnson,1.860,1.160
3,14:09,3,6,DET 48,27,24,Matthew Stafford pass complete short right to Dennis Northcutt for 8 yards (tackle by Abram Elam),1.160,2.650
3,13:33,1,10,CLE 44,27,24,Kevin Smith right end for 3 yards (tackle by Jason Trusnik),2.650,2.520
3,12:56,2,7,CLE 41,27,24,Matthew Stafford pass incomplete deep left intended for Bryant Johnson,2.520,1.820
3,12:50,3,7,CLE 41,27,24,Matthew Stafford pass incomplete short left intended for Dennis Northcutt,1.820,0.530
3,12:44,4,7,CLE 41,27,24,"Nick Harris punts 41 yards, touchback",0.530,-0.280
3,12:35,1,10,CLE 20,27,24,Jamal Lewis right tackle for 3 yards (tackle by Julian Peterson),0.280,0.140
3,11:59,2,7,CLE 23,27,24,Josh Cribbs left end for 2 yards (tackle by Ko Simpson),0.140,-0.300
3,11:22,3,5,CLE 25,27,24,"Penalty on Greg Estandia: False Start, 5 yards (no play)",-0.300,-0.960
3,11:04,3,10,CLE 20,27,24,Brady Quinn pass complete short middle to Chansi Stuckey for 10 yards (tackle by Louis Delmas),-0.960,0.940
3,10:17,1,10,CLE 30,27,24,Jamal Lewis middle for 7 yards (tackle by Louis Delmas),0.940,1.340
3,9:40,2,3,CLE 37,27,24,Brady Quinn pass complete short left to Greg Estandia for 18 yards (tackle by Marvin White),1.340,2.590
3,9:01,1,10,DET 45,27,24,Jamal Lewis middle for -1 yards (tackle by DeAndre Levy),2.590,1.910
3,8:32,2,11,DET 46,27,24,Josh Cribbs left end for no gain (tackle by Larry Foote),1.910,1.220
3,8:02,3,11,DET 46,27,24,"Brady Quinn pass incomplete short right intended for Chansi Stuckey (defended by Will Peterson). Penalty on Will Peterson: Delay of Game, 5 yards",1.220,0.530
3,7:58,4,6,DET 41,27,24,"Reggie Hodges punts 25 yards, fair catch by Dennis Northcutt",0.530,0.140
3,7:50,1,10,DET 16,27,24,Matthew Stafford pass complete short left to Bryant Johnson for 17 yards (tackle by Brodney Pool),-0.140,1.140
3,7:16,1,10,DET 33,27,24,Kevin Smith right tackle for 13 yards (tackle by Kamerion Wimbley and Brodney Pool),1.140,1.990
3,6:39,1,10,DET 46,27,24,Kevin Smith left tackle for -2 yards (tackle by Mike Adams),1.990,1.180
3,6:00,2,12,DET 44,27,24,Matthew Stafford for 6 yards,1.180,1.290
3,5:38,3,6,,27,24,Matthew Stafford pass complete short left to Brandon Pettigrew for 8 yards (tackle by Kaluka Maiava),1.290,2.790
3,4:58,1,10,CLE 42,27,24,Matthew Stafford pass incomplete short left intended for Kevin Smith (defended by Mike Adams),2.790,2.240
3,4:51,2,10,CLE 42,27,24,Matthew Stafford pass complete short left to Bryant Johnson for 6 yards (tackle by Eric Wright),2.240,2.340
3,4:12,3,4,CLE 36,27,24,Matthew Stafford pass complete short left to Calvin Johnson for 5 yards (tackle by Kaluka Maiava),2.340,3.510
3,3:31,1,10,CLE 31,27,24,Matthew Stafford pass complete deep middle to Calvin Johnson for 30 yards (tackle by Abram Elam),3.510,6.970
3,2:52,,,,27,24,Timeout #1 by Detroit Lions,0.000,6.970
3,2:52,1,1,CLE 1,27,30,"Matthew Stafford pass complete short right to Will Heller for 1 yard, touchdown",6.970,7.000
3,,,,CLE 2,27,31,Jason Hanson kicks extra point good,0.000,0.000
3,,,,DET 30,27,31,"Jason Hanson kicks off 54 yards, returned by Josh Cribbs for 26 yards (tackle by DeAngelo Smith)",0.000,1.730
3,2:40,1,10,CLE 42,27,31,Brady Quinn pass incomplete deep middle intended for Mohamed Massaquoi (defended by Phillip Buchanon),1.730,1.190
3,2:32,2,10,CLE 42,27,31,Jamal Lewis right tackle for 4 yards (tackle by Ko Simpson and DeAndre Levy),1.190,1.030
3,1:48,3,6,CLE 46,27,31,Brady Quinn pass incomplete deep right intended for Mohamed Massaquoi,1.030,-0.320
3,1:38,4,6,CLE 46,27,31,"Reggie Hodges punts 50 yards. Penalty on Turk McBride: Offensive Holding, 2 yards",-0.320,0.380
3,1:28,1,10,DET 2,27,31,"Penalty on Daniel Loper: False Start, 1 yards (no play)",-0.380,-0.420
3,1:28,1,11,DET 1,27,31,Kevin Smith middle for 1 yard (tackle by Kenyon Coleman),-0.420,-0.780
3,0:50,2,10,DET 2,27,31,"Matthew Stafford pass incomplete short left intended for Bryant Johnson (defended by Eric Wright). Penalty on Eric Wright: Defensive Pass Interfere, 3 yards (no play)",-0.780,-0.380
3,0:47,1,10,DET 5,29,31,"Matthew Stafford pass incomplete, safety. Penalty on Matthew Stafford: Intentional Grounding, 5 yards, Penalty on Brandon Pettigrew: Offensive Holding (Declined)",-0.380,-2.000
3,,,,DET 20,29,31,"Nick Harris kicks off 54 yards, returned by Josh Cribbs for 5 yards (tackle by Jordon Dizon)",0.000,1.000
3,0:35,1,10,CLE 31,29,31,Jamal Lewis left end for 2 yards (tackle by Cliff Avril and Louis Delmas),1.000,0.730
Quarter,Time,Down,ToGo,Location,CLE,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,CLE 33,29,31,Jamal Lewis middle for 3 yards (tackle by DeAndre Levy and Larry Foote),0.730,0.430
4,14:21,3,5,CLE 36,29,31,Brady Quinn pass incomplete short left intended for Mohamed Massaquoi (defended by Phillip Buchanon),0.430,-0.980
4,14:17,4,5,CLE 36,29,31,"Reggie Hodges punts 53 yards, returned by Dennis Northcutt for 17 yards (tackle by Nick Sorensen). Penalty on Mike Adams: Player Out of Bounds on , 5 yards",-0.980,-1.140
4,14:05,1,10,DET 33,29,31,Kevin Smith right end for 4 yards (tackle by Kamerion Wimbley),1.140,1.130
4,13:28,2,6,DET 37,29,31,"Matthew Stafford sacked by David Bowens for -6 yards. Matthew Stafford fumbles (forced by David Bowens), recovered by Matthew Stafford at DET-31",1.130,-0.360
4,12:49,3,12,DET 31,29,31,Matthew Stafford pass incomplete short left intended for Kevin Smith,-0.360,-1.310
4,12:44,4,12,DET 31,29,31,"Nick Harris punts 47 yards, returned by Josh Cribbs for 3 yards (tackle by Casey Fitzsimmons)",-1.310,-0.610
4,12:31,1,10,CLE 25,29,31,"Brady Quinn pass complete short right to Chris Jennings for 12 yards (tackle by Larry Foote). Penalty on Lawrence Vickers: Illegal Block Above the , 10 yards",0.610,0.900
4,12:06,1,8,CLE 27,29,31,Chris Jennings left end for 5 yards (tackle by DeAndre Levy),0.900,1.010
4,11:28,2,3,CLE 32,29,31,Brady Quinn pass complete short middle to Chris Jennings for 2 yards (tackle by Larry Foote),1.010,0.560
4,10:39,,,,29,31,Timeout #1 by Cleveland Browns,0.000,0.560
4,10:39,3,1,CLE 34,29,31,Brady Quinn middle for 2 yards (tackle by Turk McBride),0.560,1.330
4,10:02,1,10,CLE 36,29,31,Chris Jennings left end for 6 yards (tackle by Marvin White and Cliff Avril),1.330,1.600
4,9:20,2,4,CLE 42,29,31,Brady Quinn pass complete short right to Michael Gaines for 3 yards (tackle by Marvin White),1.600,1.290
4,8:57,3,1,CLE 45,29,31,Jamal Lewis middle for 1 yard (tackle by Turk McBride),1.290,1.990
4,8:43,1,10,CLE 46,29,31,Chris Jennings left end for -1 yards (tackle by Cliff Avril and DeAndre Levy),1.990,1.320
4,8:07,2,11,CLE 45,29,31,Brady Quinn pass complete short right to Mohamed Massaquoi for 10 yards (tackle by Marvin White),1.320,1.950
4,7:25,3,1,DET 45,29,31,"Brady Quinn middle for no gain (tackle by Larry Foote). Penalty on Jason Hunter: Defensive Offside, 6 yards (no play)",1.950,2.980
4,7:04,1,10,DET 39,29,31,Brady Quinn pass incomplete deep middle intended for Mohamed Massaquoi (defended by Phillip Buchanon),2.980,2.440
4,6:58,2,10,DET 39,29,31,Brady Quinn pass complete short left to Josh Cribbs for 35 yards (tackle by Larry Foote),2.440,6.280
4,6:35,1,4,DET 4,29,31,Jamal Lewis right tackle for 2 yards (tackle by Sammie Lee Hill),6.280,5.720
4,5:55,2,2,DET 2,29,31,Brady Quinn pass incomplete short right intended for Mike Furrey,5.720,4.950
4,5:51,3,2,DET 2,35,31,"Brady Quinn pass complete short right to Michael Gaines for 2 yards, touchdown",4.950,7.000
4,,,,,37,31,"Two Point Attempt: Jamal Lewis middle, conversion succeeds",1.000,1.000
4,,,,CLE 30,37,31,Phil Dawson kicks off 62 yards,0.000,1.600
4,5:44,1,10,DET 40,37,31,Matthew Stafford pass complete short left to Dennis Northcutt for 6 yards (tackle by Abram Elam),1.600,1.860
4,5:15,2,4,DET 46,37,31,Matthew Stafford pass complete short right to Dennis Northcutt for 3 yards (tackle by Abram Elam),1.860,1.550
4,4:38,3,1,DET 49,37,31,Matthew Stafford sacked by David Bowens and Kaluka Maiava for 0 yards,1.550,-0.130
4,4:21,4,1,DET 49,37,31,Matthew Stafford middle for 1 yard (tackle by C.J. Mosley),-0.130,2.260
4,3:58,1,10,,37,31,Matthew Stafford pass complete short right to Brandon Pettigrew for 11 yards (tackle by Hank Poteat),2.260,2.980
4,3:49,1,10,CLE 39,37,31,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",2.980,2.650
4,3:49,1,15,CLE 44,37,31,Matthew Stafford pass incomplete deep middle intended for Calvin Johnson is intercepted by Brodney Pool at CLE-0,2.650,-0.280
4,3:40,1,10,CLE 20,37,31,Jamal Lewis middle for 1 yard (tackle by Jason Hunter),0.280,-0.130
4,3:01,2,9,CLE 21,37,31,Jamal Lewis middle for 3 yards (tackle by Louis Delmas),-0.130,-0.430
4,2:53,,,,37,31,Timeout #2 by Detroit Lions,0.000,-0.430
4,2:53,3,6,CLE 24,37,31,Brady Quinn pass complete short right to Chansi Stuckey for 13 yards (tackle by Will Peterson),-0.430,1.400
4,2:47,1,10,CLE 37,37,31,Jamal Lewis middle for 3 yards (tackle by Marvin White and Andre Fluellen),1.400,1.260
4,2:42,,,,37,31,Timeout #3 by Detroit Lions,0.000,1.260
4,2:42,2,7,CLE 40,37,31,Jamal Lewis right tackle for 2 yards (tackle by Marvin White),1.260,0.830
4,2:00,3,5,CLE 42,37,31,Brady Quinn pass incomplete short left intended for Mohamed Massaquoi,0.830,-0.590
4,1:57,4,5,CLE 42,37,31,"Reggie Hodges punts 47 yards, returned by Dennis Northcutt for 1 yard (tackle by Raymond Ventrone)",-0.590,0.350
4,1:46,1,10,DET 12,37,31,Matthew Stafford pass complete short middle to Calvin Johnson for 13 yards (tackle by Abram Elam),-0.350,0.610
4,1:20,1,10,DET 25,37,31,Matthew Stafford pass complete short middle to Kevin Smith for 4 yards (tackle by Kaluka Maiava),0.610,0.600
4,1:01,2,6,DET 29,37,31,Matthew Stafford pass complete short right to Calvin Johnson for 17 yards (tackle by Eric Wright),0.600,1.990
4,0:45,1,10,DET 46,37,31,Matthew Stafford spiked the ball,1.990,1.450
