Quarter,Time,Tm,Detail,IND,CHI
1.0,9:05,Colts,Marcus Pollard 14 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,2:12,Bears,Paul Edinger 51 yard field goal,7,3
2.0,14:04,Colts,Reggie Wayne 35 yard pass from Peyton Manning (Mike Vanderjagt kick),14,3
,10:56,Colts,Mike Vanderjagt 34 yard field goal,17,3
,5:41,Colts,Marvin Harrison 10 yard pass from Peyton Manning (Mike Vanderjagt kick),24,3
,0:59,Colts,Mike Vanderjagt 20 yard field goal,27,3
3.0,8:26,Colts,Reggie Wayne 27 yard pass from Peyton Manning (Mike Vanderjagt kick),34,3
,0:42,Colts,Edgerrin James 11 yard rush (Mike Vanderjagt kick),41,3
4.0,1:37,Bears,Dustin Lyman 2 yard pass from Craig Krenzel (Paul Edinger kick),41,10
