Unnamed: 0,IND,CHI
First Downs,31,14
Rush-Yds-TDs,39-275-1,26-79-0
Cmp-Att-Yd-TD-INT,17-28-211-4-1,14-24-175-1-2
Sacked-Yards,0-0,4-30
Net Pass Yards,211,145
Total Yards,486,224
Fumbles-Lost,1-0,5-3
Turnovers,1,5
Penalties-Yards,10-91,9-50
Third Down Conv.,4-10,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,35:37,24:23
