Unnamed: 0,ARI,HOU
First Downs,17,22
Rush-Yds-TDs,18-48-0,34-134-2
Cmp-Att-Yd-TD-INT,22-34-257-3-2,22-32-230-2-1
Sacked-Yards,2-13,1-7
Net Pass Yards,244,223
Total Yards,292,357
Fumbles-Lost,1-0,4-1
Turnovers,2,2
Penalties-Yards,10-90,6-42
Third Down Conv.,3-10,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,26:14,33:46
