Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Adrian Peterson for 6 yards (tackle by Benardrick McKinney),0.610,0.870
1,14:24,2,4,ARI 31,0,0,Blaine Gabbert pass complete short right to John Brown for 9 yards (tackle by Johnathan Joseph). Penalty on Johnathan Joseph: Defensive Pass Interference (Declined),0.870,1.600
1,14:08,1,10,ARI 40,0,0,Blaine Gabbert pass complete short right to Larry Fitzgerald for 13 yards (tackle by Benardrick McKinney),1.600,2.460
1,13:38,1,10,HOU 47,0,0,Blaine Gabbert pass complete short middle to Larry Fitzgerald for 7 yards (tackle by Kareem Jackson and Jelani Jenkins),2.460,2.860
1,12:57,2,3,HOU 40,0,0,Adrian Peterson left guard for 7 yards (tackle by Benardrick McKinney),2.860,3.380
1,12:17,1,10,HOU 33,0,0,Blaine Gabbert pass incomplete deep left intended for Ricky Seals-Jones,3.380,2.840
1,12:11,2,10,HOU 33,0,0,Blaine Gabbert sacked by Jadeveon Clowney for -8 yards. Penalty on ARI: Illegal Formation (Declined),2.840,1.090
1,11:37,3,18,HOU 41,0,0,Blaine Gabbert pass complete short middle to Larry Fitzgerald for 3 yards (tackle by Eddie Pleasant and Jadeveon Clowney),1.090,0.720
1,11:04,4,15,HOU 38,0,0,Andy Lee punts 37 yards,0.720,0.380
1,10:50,1,10,HOU 1,0,0,Penalty on Chris Clark: False Start (no play),-0.380,-0.380
1,10:50,1,10,HOU 1,0,0,Tom Savage pass complete short middle to DeAndre Hopkins for 11 yards (tackle by Budda Baker and Antoine Bethea),-0.380,-0.350
1,10:14,1,10,HOU 12,0,0,Lamar Miller middle for 3 yards (tackle by Tyrann Mathieu and Deone Bucannon),-0.350,-0.500
1,9:40,2,7,HOU 15,0,0,Lamar Miller left guard for -3 yards (tackle by Olsen Pierre),-0.500,-1.420
1,8:55,3,10,HOU 12,0,0,Tom Savage pass complete short right to Braxton Miller for 3 yards (tackle by Tyrann Mathieu),-1.420,-2.440
1,8:21,4,7,HOU 15,0,0,"Shane Lechler punts 43 yards, fair catch by Kerwynn Williams",-2.440,-1.730
1,8:14,1,10,ARI 42,0,0,Blaine Gabbert pass complete short right to John Brown for 4 yards (tackle by Johnathan Joseph),1.730,1.730
1,7:37,2,6,ARI 46,0,0,"Adrian Peterson right guard for no gain (tackle by Jadeveon Clowney and Johnathan Joseph). Penalty on Larry Fitzgerald: Illegal Crackback, 15 yards (no play)",1.730,-0.300
1,7:13,2,21,ARI 31,0,0,Kerwynn Williams right end for 9 yards (tackle by Andre Hal),-0.300,0.230
1,6:26,3,12,ARI 40,0,0,Blaine Gabbert pass incomplete short right intended for JJ Nelson (defended by Eddie Pleasant),0.230,-0.720
1,6:17,4,12,ARI 40,0,0,"Andy Lee punts 49 yards, fair catch by Bruce Ellington",-0.720,0.370
1,6:10,1,10,HOU 11,0,0,Tom Savage pass complete short middle to C.J. Fiedorowicz for 10 yards (tackle by Budda Baker),-0.370,0.340
1,5:38,1,10,HOU 21,0,0,"D'Onta Foreman right end for 1 yard (tackle by Xavier Williams). D'Onta Foreman fumbles (forced by Xavier Williams), recovered by Bruce Ellington at HOU-25 and returned for 4 yards",0.340,0.880
1,4:55,2,2,HOU 29,0,0,"Tom Savage pass incomplete deep middle intended for Bruce Ellington (defended by Tyrann Mathieu). Penalty on Tramon Williams: Defensive Holding, 5 yards (no play)",0.880,1.200
1,4:46,1,10,HOU 34,0,0,Lamar Miller middle for -3 yards (tackle by Budda Baker),1.200,0.250
1,4:16,2,13,HOU 31,0,0,Tom Savage pass complete short right to Lamar Miller for 8 yards (tackle by Deone Bucannon),0.250,0.630
1,3:37,3,5,HOU 39,0,0,Tom Savage pass complete short middle to Braxton Miller for 11 yards (tackle by Antoine Bethea),0.630,2.260
1,3:06,1,10,,0,0,Lamar Miller middle for 7 yards (tackle by Budda Baker),2.260,2.660
1,2:31,2,3,ARI 43,0,0,Lamar Miller middle for 2 yards (tackle by Deone Bucannon),2.660,2.210
1,1:50,3,1,ARI 41,0,0,Lamar Miller middle for 3 yards (tackle by Deone Bucannon),2.210,3.050
1,1:13,1,10,ARI 38,0,0,"Tom Savage pass incomplete short middle intended for DeAndre Hopkins (defended by Antoine Bethea). Penalty on Antoine Bethea: Unnecessary Roughness, 15 yards (no play)",3.050,4.040
1,1:08,1,10,ARI 23,0,0,Bruce Ellington right end for 5 yards (tackle by Karlos Dansby),4.040,4.210
1,0:24,2,5,ARI 18,0,0,Lamar Miller middle for 13 yards (tackle by Tyrann Mathieu),4.210,6.060
Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,ARI 5,0,0,Lamar Miller right tackle for -2 yards (tackle by Deone Bucannon),6.060,4.760
2,14:20,2,7,ARI 7,0,6,"Tom Savage pass complete short right to Lamar Miller for 7 yards, touchdown",4.760,7.000
2,14:12,,,ARI 15,0,7,"Ka'imi Fairbairn kicks extra point good. Penalty on ARI: Illegal Formation, 5 yards",0.000,0.000
2,14:12,,,HOU 40,0,7,"Ka'imi Fairbairn kicks off 59 yards, returned by Kerwynn Williams for 15 yards (tackle by Kurtis Drummond)",0.000,0.140
2,14:04,1,10,ARI 16,0,7,Blaine Gabbert pass complete short right to Jermaine Gresham for 10 yards (tackle by Kareem Jackson and Johnathan Joseph),-0.140,0.670
2,13:27,1,10,ARI 26,0,7,Adrian Peterson left tackle for 1 yard (tackle by Joel Heath and Brennan Scarlett),0.670,0.270
2,12:44,2,9,ARI 27,0,7,Blaine Gabbert pass complete short left to Ricky Seals-Jones for 15 yards (tackle by Zach Cunningham and Benardrick McKinney),0.270,1.730
2,12:03,1,10,ARI 42,0,7,Adrian Peterson right tackle for -4 yards (tackle by Jadeveon Clowney),1.730,0.650
2,11:20,2,14,ARI 38,0,7,Blaine Gabbert pass complete deep middle to Larry Fitzgerald for 22 yards (tackle by Andre Hal and Benardrick McKinney),0.650,2.920
2,10:35,1,10,HOU 40,0,7,Adrian Peterson left guard for 1 yard (tackle by Ufomba Kamalu),2.920,2.510
2,9:52,2,9,HOU 39,0,7,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Blaine Gabbert at HOU-40",2.510,1.680
2,9:09,3,10,HOU 40,0,7,Blaine Gabbert pass incomplete short middle intended for Jaron Brown (defended by Andre Hal),1.680,0.590
2,9:03,4,10,HOU 40,0,7,"Andy Lee punts 31 yards. Penalty on Justin Drescher: Offensive Holding, 10 yards",0.590,-0.150
2,8:52,1,10,HOU 19,0,7,Lamar Miller middle for 5 yards (tackle by Karlos Dansby and Budda Baker),0.150,0.340
2,8:16,2,5,HOU 24,0,7,"Tom Savage sacked by Budda Baker for -7 yards. Tom Savage fumbles (forced by Budda Baker), recovered by Budda Baker at HOU-17",0.340,-4.440
2,8:07,1,10,HOU 17,0,7,Adrian Peterson left guard for -3 yards (tackle by Benardrick McKinney),4.440,3.490
2,7:27,2,13,HOU 20,6,7,"Blaine Gabbert pass complete deep left to Larry Fitzgerald for 20 yards, touchdown",3.490,7.000
2,7:20,,,HOU 15,7,7,Phil Dawson kicks extra point good,0.000,0.000
2,7:20,,,ARI 35,7,7,"Phil Dawson kicks off 65 yards, returned by Chris Thompson for 20 yards (tackle by Ricky Seals-Jones)",0.000,-0.280
2,7:15,1,10,HOU 20,7,7,D'Onta Foreman middle for -1 yards (tackle by Tyrann Mathieu),0.280,-0.460
2,6:36,2,11,HOU 19,7,7,Tom Savage pass incomplete short left intended for Braxton Miller,-0.460,-1.140
2,6:30,3,11,HOU 19,7,7,Tom Savage pass incomplete short left intended for DeAndre Hopkins. Penalty on DeAndre Hopkins: Offensive Pass Interference (Declined),-1.140,-2.140
2,6:25,4,11,HOU 19,7,7,"Shane Lechler punts 41 yards, fair catch by Kerwynn Williams",-2.140,-1.600
2,6:15,1,10,ARI 40,7,7,Adrian Peterson right guard for -1 yards (tackle by Benardrick McKinney),1.600,0.920
2,5:37,2,11,ARI 39,7,7,Blaine Gabbert pass complete short left to Larry Fitzgerald for 6 yards (tackle by Marcus Gilchrist),0.920,1.030
2,5:05,3,5,ARI 45,7,7,Blaine Gabbert right end for 1 yard (tackle by Zach Cunningham),1.030,-0.320
2,4:40,4,4,ARI 46,7,7,"Andy Lee punts 47 yards, returned by Bruce Ellington for 9 yards (tackle by Brittan Golden)",-0.320,0.140
2,4:27,1,10,HOU 16,7,7,Lamar Miller left guard for 9 yards (tackle by Karlos Dansby),-0.140,0.690
2,3:53,2,1,HOU 25,7,7,Lamar Miller right guard for 1 yard (tackle by Budda Baker and Rodney Gunter),0.690,0.670
2,3:09,1,10,HOU 26,7,7,Tom Savage pass complete short left to Bruce Ellington for 2 yards (tackle by Tyrann Mathieu),0.670,0.400
2,2:32,2,8,HOU 28,7,7,Tom Savage pass incomplete short left intended for Stephen Anderson is intercepted by Patrick Peterson at HOU-37 and returned for 22 yards,0.400,-4.580
2,2:22,1,10,HOU 15,7,7,Adrian Peterson left guard for 4 yards (tackle by Brandon Dunn),4.580,4.640
2,2:00,2,6,HOU 11,13,7,"Blaine Gabbert pass complete short right to Ricky Seals-Jones for 11 yards, touchdown",4.640,7.000
2,1:53,,,HOU 15,14,7,Phil Dawson kicks extra point good,0.000,0.000
2,1:53,,,ARI 35,14,7,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
2,1:53,1,10,HOU 25,14,7,Lamar Miller right guard for 11 yards (tackle by Antoine Bethea and Xavier Williams),0.610,1.330
2,1:28,1,10,HOU 36,14,7,Lamar Miller middle for 1 yard (tackle by Deone Bucannon and Robert Nkemdiche),1.330,0.930
2,1:01,2,9,HOU 37,14,7,"Tom Savage pass incomplete short left intended for DeAndre Hopkins. Penalty on Patrick Peterson: Illegal Contact, 5 yards (no play)",0.930,1.730
2,0:55,1,10,HOU 42,14,7,Tom Savage pass complete short right to C.J. Fiedorowicz for 8 yards (tackle by Budda Baker),1.730,0.000
