Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Mitch Berger kicks off 64 yards, returned by James Thrash for 19 yards (tackle by Keyuo Craver). Penalty on Sheldon Brown: Offensive Holding, 10 yards",0.000,-0.220
1,14:55,1,10,PHI 15,0,0,Donovan McNabb pass complete to Todd Pinkston for 48 yards (tackle by Ashley Ambrose),-0.220,3.120
1,14:07,1,10,NOR 37,0,0,Donovan McNabb pass incomplete intended for James Thrash,3.120,2.570
1,14:00,2,10,NOR 37,0,0,Duce Staley left tackle for 9 yards (tackle by Tebucky Jones),2.570,3.070
1,13:32,3,1,NOR 28,0,0,Donovan McNabb up the middle for 4 yards (tackle by Johnathan Sullivan),3.070,3.970
1,13:00,1,10,NOR 24,0,0,Correll Buckhalter up the middle for 6 yards (tackle by Dale Carter),3.970,4.290
1,12:21,2,4,NOR 18,0,0,Donovan McNabb pass incomplete intended for Greg Lewis,4.290,3.570
1,12:18,3,4,NOR 18,0,0,Donovan McNabb pass incomplete intended for Brian Westbrook (defended by Charles Grant),3.570,2.320
1,12:12,4,4,NOR 18,0,3,David Akers 36 yard field goal good,2.320,3.000
1,,,,PHI 30,0,3,"David Akers kicks off 70 yards, returned by Michael Lewis for 16 yards (tackle by Roderick Hood)",0.000,-0.140
1,12:03,1,10,NOR 16,0,3,Deuce McAllister right guard for 8 yards (tackle by Carlos Emmons),-0.140,0.550
1,11:31,2,2,NOR 24,0,3,Aaron Brooks pass incomplete intended for Deuce McAllister (defended by Carlos Emmons),0.550,-0.320
1,11:26,,,,0,3,Timeout #1 by New Orleans Saints,0.000,-0.320
1,11:26,3,2,NOR 24,0,3,"Penalty on LeCharles Bentley: False Start, 5 yards (no play)",-0.320,-0.950
1,11:26,3,7,NOR 19,0,3,Ki-Jana Carter left end for 8 yards (tackle by Michael Lewis),-0.950,0.740
1,10:45,1,10,NOR 27,0,3,Aaron Brooks pass complete to Joe Horn for 42 yards (tackle by Michael Lewis),0.740,3.510
1,9:59,1,10,PHI 31,0,3,Deuce McAllister left guard for 12 yards (tackle by Nate Wayne),3.510,4.310
1,9:21,1,10,PHI 19,0,3,"Penalty on Walter Rasby: False Start, 5 yards (no play)",4.310,3.970
1,8:56,1,15,PHI 24,0,3,Aaron Brooks pass complete to Deuce McAllister for 23 yards (tackle by Michael Lewis),3.970,6.970
1,8:11,1,1,PHI 1,0,3,Deuce McAllister left guard for no gain (tackle by N.D. Kalu),6.970,5.910
1,7:45,2,1,PHI 1,0,3,"Aaron Brooks for no gain. Aaron Brooks fumbles, recovered by Troy Vincent at PHI-0",5.910,-0.280
1,7:39,1,10,PHI 20,0,3,Donovan McNabb pass incomplete intended for L.J. Smith,0.280,-0.270
1,7:36,2,10,PHI 20,0,3,"Donovan McNabb pass incomplete intended for L.J. Smith (defended by Tebucky Jones). Penalty on Fred Thomas: Illegal Use of Hands, 5 yards (no play)",-0.270,0.610
1,7:31,1,10,PHI 25,0,3,Brian Westbrook left end for 6 yards (tackle by Tebucky Jones and Fred Thomas),0.610,0.870
1,6:49,2,4,PHI 31,0,3,Donovan McNabb pass complete to Correll Buckhalter for 20 yards (tackle by Sedrick Hodge),0.870,2.320
1,6:03,1,10,NOR 49,0,3,Brian Westbrook left end for no gain (tackle by Orlando Ruff),2.320,1.780
1,5:20,2,10,NOR 49,0,3,Donovan McNabb right end for 34 yards (tackle by Jay Bellamy),1.780,4.580
1,4:31,,,,0,3,Timeout #2 by New Orleans Saints,0.000,4.580
1,4:31,1,10,NOR 15,0,9,"Brian Westbrook up the middle for 15 yards, touchdown",4.580,7.000
1,,,,NOR 2,0,10,"David Akers kicks extra point good. Penalty on Tebucky Jones: Defensive Offside, 5 yards",0.000,0.000
1,,,,PHI 35,0,10,"David Akers kicks off 71 yards, touchback",0.000,0.280
1,4:25,1,10,NOR 20,0,10,Aaron Brooks pass complete to Boo Williams for 8 yards (tackle by Mark Simoneau),0.280,0.810
1,3:52,2,2,NOR 28,0,10,Deuce McAllister right guard for 2 yards (tackle by Carlos Emmons and Brandon Whiting),0.810,0.940
1,3:11,1,10,NOR 30,0,10,Deuce McAllister right tackle for 5 yards (tackle by Brandon Whiting),0.940,1.070
1,2:37,2,5,NOR 35,0,10,Aaron Brooks pass incomplete intended for Jerome Pathon (defended by Lito Sheppard),1.070,0.370
1,2:30,3,5,NOR 35,0,10,"Penalty on Aaron Brooks: Delay of Game, 5 yards (no play)",0.370,-0.300
1,2:30,3,10,NOR 30,0,10,"Aaron Brooks pass incomplete intended for Joe Horn. Penalty on N.D. Kalu: Roughing the Passer, 15 yards (no play)",-0.300,1.930
1,2:25,1,10,NOR 45,0,10,Deuce McAllister left tackle for 9 yards (tackle by N.D. Kalu),1.930,2.600
1,1:51,2,1,PHI 46,0,10,Deuce McAllister left guard for 8 yards (tackle by Michael Lewis),2.600,3.050
1,1:11,1,10,PHI 38,0,10,"Penalty on Walter Rasby: False Start, 5 yards (no play)",3.050,2.720
1,0:45,1,15,PHI 43,0,10,Aaron Brooks pass complete to Deuce McAllister for 1 yard (tackle by Troy Vincent),2.720,1.970
1,0:07,2,14,PHI 42,0,10,"Aaron Brooks pass complete to Joe Horn for 6 yards (tackle by Lito Sheppard). Joe Horn fumbles (forced by Lito Sheppard), ball out of bounds at PHI-36",1.970,2.080
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,PHI 36,0,10,Deuce McAllister right end for no gain (tackle by Nate Wayne),2.080,0.880
