Unnamed: 0,GNB,TEN
First Downs,21,19
Rush-Yds-TDs,13-69-1,31-154-1
Cmp-Att-Yd-TD-INT,32-55-379-2-2,20-27-305-5-0
Sacked-Yards,5-46,1-13
Net Pass Yards,333,292
Total Yards,402,446
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,12-107,7-65
Third Down Conv.,4-15,7-14
Fourth Down Conv.,2-4,0-1
Time of Possession,30:29,29:31
